"id","claim_number"
"9","164398"
"10","DF0518274614"
"11","17228158"
"12",
"17","2018 FL 234294"
"18","29456 and 29402"
"21","01-11989"
"22","CLB00002277"
"23","GP18201837"
"24","EDI931471"
"25",
"26","597-745"
"27","596143M37"
"28","F10061175"
"29","3717226-30"
"30","ST18209239"
"31","HO0158268636"
"32","ST18210016"
"33","158840"
"34","00201021404"
"35","FL18-0100892H718"
"36","2018004544"
"37","01-000014409"
"38","598937"
"39","2317948"
"40","3300298461"
"41","59-6163FO1"
"42","2000226500"
"43","HO0518268759"
"44","00102471485"
"45","CLB00004509 or 336061M23"
"46","15049805-5"
"48","CFL18549012"
"49",
"50",
"51",
"52",
"53",
"54",
"55",
"56","ST17228158"
"57",
"58",
"59","HO0518276074"
"60","3300304174"
"61","3300304187"
"62","ST18212497"
"64","EDI 932751"
"65","SFLH1214276"
"66","3300304176"
"67","ST18212469"
"68","FPI203196-00"
"69","GV17200513"
"70","EDI932801-00"
"72",
"74",
"75","3300304567"
"76","EDI932801-00"
"77","HO0118258936"
"78","HO0518276074"
"80",
"81",
"82","001-00-165445"
"83","164398"
"84",
"85",
"87","Not Provided"
"88","29247"
"89",
"90","FPI204079-00"
"91","EDI932801-00"
"92","FPI204079-00"
"93","HO05185276163"
"94","FPI091187-00"
"95",
"96",
"97",
"98","001-00-18509"
"99","FPI 204050-00"
"101","167532"
"102","SJ30227156"
"103",
"104","DF0519278174"
"105","80108623"
"106","ST192000432"
"107","204380"
"108",
"109",
"110",
"111","690100038879"
"112",
"113","204393-00"
"114","HO019278171"
"115","3863"
"116","EDI933087-00"
"117",
"118","12898"
"119","204393-00"
"120","HO0519278328"
"121","FPI204440-00"
"122","ST19200489"
"123",
"124","12898"
"125","93066-00"
"126","HO0519278279"
"127",
"129",
"130","HO051927822"
"131",
"132","167532"
"133","FPI204482"
"134",
"135",
"136",
"137","80108601"
"138","3300306293"
"139",
"140",
"141","31242"
"142",
"143","HO0519278631"
"144","595992-181013"
"145","28110"
"146","38665"
"147",
"148","38700"
"149","HO0519278182"
"150","ST19200489"
"151",
"152","FPI204711-00"
"153","FPI202714-00"
"154","HO0519278634"
"155","HO0519278965"
"156","3300306293"
"157",
"158",
"159","690100038974"
"160",
"161",
"162","HO0519279229"
"163",
"164","EDI930445"
"165","FPI082289"
"166","FPI085254"
"167","FPI202951"
"168","204820-00"
"169",
"170","FPI204816"
"171",
"172",
"173","01-2550"
"174","GV18202741"
"175","HO0519279323"
"176","EDI933109"
"177","EDI933087"
"178",
"179",
"180",
"181",
"182","FPI204858"
"183","HO0519278969"
"184","TMASHO195853"
"185","38682"
"186","01-18326"
"187","933374"
"188","EDI933152"
"189","ST19200753"
"190",
"191","01-2550"
"192","205075"
"193","Policy number09748240"
"194","FPI204482-00"
"195","CLM00516888"
"196","FL19-0106794"
"197",
"198",
"199","FPI205134"
"200",
"201",
"202","683665553"
"203","FPI205134"
"204",
"205","205075"
"207","01-17703"
"209","39029"
"210",
"211","FPI205379"
"212","01-18894"
"213","FL19-0106794"
"214","FPI2054300"
"215","80108623"
"216","EDI933152"
"220","FPI086072"
"221","EDI922089"
"222","FPI205464-00"
"223","ST19201460"
"224","HO0519278965"
"226","Policy number09748240"
"234",
"235",
"246","GV18202741"
"249","17338"
"250","17347"
"261","HO0519280549"
"270",
"286","634745"
"290","01-945"
"306",
"310",
"314","550100027829"
"316",
"318",
"352","FPI-205594"
"353","HO0519281415"
"355","EDI933708-00"
"357",
"358","39099"
"359","204820-00"
"360","550100027829"
"361","01-19153"
"362",
"363",
"364","2019001023"
"365","FL19-0110134"
"366","EDI-933740"
"367","01-17703"
"373","01-19153"
"375","31964"
"377","933776"
"378","HCI-891508"
"379","HCI-891508"
"380","FPI205795-00"
"382","39099"
"383",
"384","01-19271"
"385","EDI933824-00"
"386","HO0519279323"
"389",
"390","GV17200730"
"391",
"392","01-19223"
"396",
"400",
"401","641179-191013"
"402",
"404","01-19860"
"405","FPI205688-00"
"406","38853"
"407","31837"
"410",
"414","01-18674"
"417","EDI932801-00"
"424","GV18202741"
"426","FPI-203483-00"
"430","001-00-198475"
"431","01-19860"
"433","FPI-205360-00"
"434","206339"
"437","39339"
"438","38914"
"441","FL19-0107320"
"443","HO0519283647"
"444","EDI932801-00"
"446","HCI-892040"
"447","01-20385"
"448","FPI-206426-00"
"454","HCI-891238"
"457","01-19223"
"476","FL19-0112040"
"477","EDI-934077-00"
"478",
"479","31964"
"480","HO0519283886"
"481","120100033458"
"482",
"483","01-19413"
"484",
"485",
"488","934187"
"489",
"491","EDI-934077-00"
"495","HO0519284652"
"496",
"497","205781"
"498",
"499",
"500","31837"
"501",
"502","EDI-934077-00"
"503","16029"
"504",
"505","HO0519284766"
"506","550100028247"
"507",
"508",
"509",
"510","NVH0004473"
"511","00201096428"
"512","550100028247"
"513",
