"id","referral_type_id","company_entity","company_fictitions","street","city","state","zipcode","main_contact","email","created_at","updated_at"
"7","1","Joe Taylor Restoration","JTR","855 NW 17th Avenue Suite C","Delray Beach","FL","33445","CLEGG DURKIN - 954 658-2114","claims@jtrestoration.com","2018-12-14 17:20:47","2021-3-26 15:53:42"
"8","1","All Claims","All Claims","426 SW 12th Ave.","Deerfield Beach","FL","33442","Patricia Kay","pkay@allclaimsrepairs.com","2018-12-14 18:36:43","2021-3-29 13:32:51"
"9","1","Pinnacle Management Systems Inc (Rytech - South Florida)","Rytech - S FL","10224 NW 50th St.","Sunrise","FL","33351","(754) 701-4064","gsikora@rytechinc.com","2018-12-14 18:52:56","2020-12-4 11:04:42"
"10","2","Federated National Insurance Company","Fed Nat","14050 NW 14th St Ste 180","Sunrise","FL","33323",,"claims@fednat.com","2018-12-17 13:51:00","2022-6-30 13:59:26"
"11","2","UPC Insurance","UPC",,,,,,"claims@upcinsurance.com","2018-12-17 15:16:12","2022-3-17 11:43:07"
"12","2","Frontline","Frontline",,,,,,"dailyreports@flhi.com","2018-12-17 15:18:31","2022-5-26 15:58:18"
"13","2","USAA","USAA",,,,,,"claim specific","2018-12-17 15:20:19","2020-12-4 11:31:40"
"14","2","Gulfstream Property and Casualty","Gulf P&C",,,,,,"dispatch@seibels.com","2018-12-17 15:29:42","2021-7-20 13:58:40"
"15","2","Edison Insurance","Edison",,,,,,"emsbillreview@floridapeninsula or Csclaims@floridapeninsula.com","2018-12-17 15:31:42","2020-12-4 10:46:36"
"16","2","American Strategic Insurance (ASI)","ASI",,,,,,"claims@asicorp.org","2018-12-17 15:35:25","2022-6-24 10:13:12"
"17","2","State Farm Insurance","State Farm Insurance",,,,,"(855) 463-3066","statefarmfireclaims@statefarm.com","2018-12-17 15:36:58","2020-12-4 11:27:18"
"18","2","North Carolina insurance Underwriters","NCIU",,,,,,"claims.admin@ncjua.com","2018-12-17 15:37:48","2020-12-4 11:01:25"
"19","2","Allstate Insurance","Allstate",,,,,"(800) 255-7828","claims@claims.allstate.com","2018-12-17 15:39:35","2021-4-28 10:31:33"
"23","2","Security First","Sec 1st","PO Box 105649","Atlanta","GA","30348",,"catclaims@securityfirstflorida.com","2018-12-17 15:43:31","2022-3-17 11:44:56"
"24","9","Alacrity","Alacrity",,,,,,,"2018-12-18 09:49:18","2021-10-14 12:22:45"
"25","2","American Integrity","Amer. Int.",,,,,,"claimsmail@aiiclf.com","2018-12-18 09:50:04","2020-12-4 10:35:20"
"26","2","American Traditions Insurance Company","Amer. Trad.",,,,,,,"2018-12-18 09:51:04","2021-6-24 15:02:16"
"27","2","Amica","Amica",,,,,,,"2018-12-18 09:59:32","2020-12-4 10:36:03"
"28","2","Anchor Property and Casualty","Anchor",,,,,,"flclaims@relyonanchor.com","2018-12-18 10:00:13","2020-12-4 10:36:54"
"29","2","Assurant","Assurant",,,,,,"myclaimsinfo@assurant.com","2018-12-18 10:00:59","2020-12-4 10:37:03"
"30","2","Carbrillo Coastal","Harbor Claims",,,,,,"claims@harborclaims.com","2018-12-18 10:06:06","2020-12-4 10:41:58"
"31","2","Capitol Preferred Insurance","Capitol",,,,,,"iareports@capitol-preferred.com","2018-12-18 10:10:46","2020-12-4 10:42:07"
"32","2","Centauri","Centauri","PO Box 100117","Columbia","SC","29202",,"customerservice@centauri-ins.com","2018-12-18 10:12:59","2022-2-18 12:43:34"
