"id","referral_type_id","company_entity","company_fictitions","street","city","state","zipcode","main_contact","email","created_at","updated_at"
"7","1","Joe Taylor Restoration","JTR","855 NW 17th Avenue Suite C","Delray Beach","FL","33445","CLEGG DURKIN - 954 658-2114","claims@jtrestoration.com","14/12/2018 17:20:47","26/3/2021 15:53:42"
"8","1","All Claims","All Claims","426 SW 12th Ave.","Deerfield Beach","FL","33442","Patricia Kay","pkay@allclaimsrepairs.com","14/12/2018 18:36:43","29/3/2021 13:32:51"
"9","1","Pinnacle Management Systems Inc (Rytech - South Florida)","Rytech - S FL","10224 NW 50th St.","Sunrise","FL","33351","(754) 701-4064","gsikora@rytechinc.com","14/12/2018 18:52:56","4/12/2020 11:04:42"
"10","2","Federated National Insurance Company","Fed Nat","14050 NW 14th St Ste 180","Sunrise","FL","33323",,"claims@fednat.com","17/12/2018 13:51:00","19/8/2021 16:07:18"
"11","2","UPC Insurance","UPC",,,,,,"claims@upcinsurance.com","17/12/2018 15:16:12","14/4/2021 10:52:15"
"12","2","Frontline","Frontline",,,,,,"dailyreports@flhi.com","17/12/2018 15:18:31","5/8/2021 15:24:50"
"13","2","USAA","USAA",,,,,,"claim specific","17/12/2018 15:20:19","4/12/2020 11:31:40"
"14","2","Gulfstream Property and Casualty","Gulf P&C",,,,,,"dispatch@seibels.com","17/12/2018 15:29:42","20/7/2021 13:58:40"
"15","2","Edison Insurance","Edison",,,,,,"emsbillreview@floridapeninsula or Csclaims@floridapeninsula.com","17/12/2018 15:31:42","4/12/2020 10:46:36"
"16","2","American Strategic Insurance (ASI)","ASI",,,,,,"claims@asicorp.org","17/12/2018 15:35:25","11/5/2021 13:28:17"
"17","2","State Farm Insurance","State Farm Insurance",,,,,"(855) 463-3066","statefarmfireclaims@statefarm.com","17/12/2018 15:36:58","4/12/2020 11:27:18"
"18","2","North Carolina insurance Underwriters","NCIU",,,,,,"claims.admin@ncjua.com","17/12/2018 15:37:48","4/12/2020 11:01:25"
"19","2","Allstate Insurance","Allstate",,,,,"(800) 255-7828","claims@claims.allstate.com","17/12/2018 15:39:35","28/4/2021 10:31:33"
"23","2","Security First","Sec 1st","PO Box 105649","Atlanta","GA","30348",,"catclaims@securityfirstflorida.com","17/12/2018 15:43:31","9/7/2021 18:04:32"
"24","9","Alacrity","Alacrity",,,,,,,"18/12/2018 09:49:18","27/5/2021 14:04:19"
"25","2","American Integrity","Amer. Int.",,,,,,"claimsmail@aiiclf.com","18/12/2018 09:50:04","4/12/2020 10:35:20"
"26","2","American Traditions Insurance Company","Amer. Trad.",,,,,,,"18/12/2018 09:51:04","24/6/2021 15:02:16"
"27","2","Amica","Amica",,,,,,,"18/12/2018 09:59:32","4/12/2020 10:36:03"
"28","2","Anchor Property and Casualty","Anchor",,,,,,"flclaims@relyonanchor.com","18/12/2018 10:00:13","4/12/2020 10:36:54"
"29","2","Assurant","Assurant",,,,,,"myclaimsinfo@assurant.com","18/12/2018 10:00:59","4/12/2020 10:37:03"
"30","2","Carbrillo Coastal","Harbor Claims",,,,,,"claims@harborclaims.com","18/12/2018 10:06:06","4/12/2020 10:41:58"
"31","2","Capitol Preferred Insurance","Capitol",,,,,,"iareports@capitol-preferred.com","18/12/2018 10:10:46","4/12/2020 10:42:07"
"32","2","Centauri","Centauri","PO Box 100117","Columbia","SC","29202",,"customerservice@centauri-ins.com","18/12/2018 10:12:59","16/8/2021 11:45:21"
"33","2","Chubb","Chubb",,,,,,"ecsc.property.claims@chubb.com","18/12/2018 10:16:46","11/8/2021 15:17:56"
"34","2","Citizens","Citizens",,,,,,"claimscommunications@citizensfla.com","18/12/2018 10:22:21","4/12/2020 10:41:23"
"35","2","Crawford and Company","Crawford","2301 Lucien Way, Suite 185","Maitland","FL","32751","Tom Rycroft","southflorida@us.crawco.com","18/12/2018 10:33:34","4/12/2020 10:44:55"
"36","2","Cypress Property and Casualty","Cy. P&C",,,,,,"cypclaims@cpyressIG.com","18/12/2018 10:34:53","4/12/2020 10:45:18"
"37","2","Fidelity","Fidelity",,,,,"(800) 220-1351","fnic-claims@pandcins.com","18/12/2018 10:40:26","4/12/2020 10:51:07"
"38","2","Florida Family","FL Fam",,,,,,"claimsdepartment@flfamily.com","18/12/2018 10:59:12","4/12/2020 10:53:03"
"41","2","Heritage","Heritage",,,,,"test","claims@heritagepci.com","18/12/2018 11:03:11","5/8/2021 15:24:05"
"42","2","Homeowner's Choice","H/O Choice",,,,,,"claims@hcpci.com","18/12/2018 11:03:55","4/12/2020 10:56:37"
"43","2","Horace Mann","Horace",,,,,,,"18/12/2018 11:04:17","4/12/2020 10:56:53"
"44","2","Ironshore","Iron",,,,,,"usclaims@ironshore.com","18/12/2018 11:04:40","4/12/2020 10:57:00"
"45","2","Liberty Mutual","Liberty",,,,,,"firstname.lastname@libertymutual.com","18/12/2018 11:05:08","4/12/2020 10:58:37"
"46","2","Lloyds of London","Lloyds",,,,,"(877) 275-9575","clmrpt@allrisks.com","18/12/2018 11:05:53","4/12/2020 11:00:02"
"47","2","London Underwriters","London U",,,,,,,"18/12/2018 11:07:41","4/12/2020 11:00:09"
"48","2","Nationwide","Nation",,,,,,,"18/12/2018 11:08:01","4/12/2020 11:01:01"
"51","2","Prepared Insurance","Prepared",,,,,,,"18/12/2018 11:09:57","9/6/2021 14:21:40"
"52","2","Cunningham Lindsey","Cunn. Lindsey",,,,,,,"18/12/2018 11:10:20","4/12/2020 10:45:09"
"53","2","PURE Insurance","PURE",,,,,,,"18/12/2018 11:10:40","11/8/2021 12:08:24"
"54","2","SafePoint","Safe Pt",,,,,"(855) 252-4615","claims@safepointins.com","18/12/2018 11:11:12","4/12/2020 11:17:58"
"55","2","Scottsdale","Scotts",,,,,,"clmsrpts@scottsdaleins.com","18/12/2018 11:11:42","4/12/2020 11:18:05"
"56","2","Seacoast  Brokers","Seacoast",,,,,,,"18/12/2018 11:12:04","4/12/2020 11:18:13"
"57","2","Southern Fidelity Insurance","S. Fid.",,,,,,"iareports@southernfidelityins.com","18/12/2018 11:13:24","9/6/2021 14:18:13"
"59","6","Grindley Williams","Grindley","4175 South Pipkin Road, Suite 210","Lakeland","FL","33811","(863) 874-3471","ataylor@grindleywilliams.com","18/12/2018 11:22:32","4/12/2020 10:53:56"
"62","2","Tower Hill","Tower Hill",,,,,,"claims@thig.com","18/12/2018 16:29:39","5/1/2021 12:32:55"
"63","2","York Claims","York",,,,,,,"18/12/2018 16:30:18","4/12/2020 11:32:19"
"64","2","Travlers of Florida","Travlers",,,,,,,"18/12/2018 16:30:38","4/12/2020 11:29:15"
"65","2","The Hartford","Hartford",,,,,,,"18/12/2018 16:30:59","4/12/2020 11:28:17"
"66","6","Direct Bill","Direct Bill",,,,,,,"18/12/2018 21:33:10","4/12/2020 11:02:35"
"68","6","Nichols& Associates","Nichols","1229 Jenks Ave.","Panama City","FL","32401","(850) 819-1464","mike.nichols@bayinspc.com","19/12/2018 10:38:55","4/12/2020 11:01:17"
