"referral_id","carrier_id","auth_id"
"7","7","770"
"7","7","1055"
"8","8","774"
"8","8","775"
"8","8","776"
"8","8","1090"
"10","10","780"
"10","10","781"
"10","10","1047"
"10","10","1126"
"11","11","780"
"11","11","781"
"11","11","1000"
"11","11","1047"
"11","11","1112"
"11","11","1126"
"12","12","781"
"12","12","1001"
"12","12","1047"
"12","12","1112"
"12","12","1126"
"13","13","780"
"13","13","781"
"13","13","1047"
"13","13","1106"
"13","13","1126"
"14","14","781"
"14","14","790"
"14","14","1047"
"15","15","780"
"15","15","781"
"15","15","1047"
"15","15","1126"
"16","16","781"
"16","16","790"
"16","16","1047"
"16","16","1083"
"16","16","1090"
"16","16","1112"
"16","16","1143"
"17","17","780"
"17","17","781"
"17","17","1047"
"19","19","780"
"19","19","781"
"19","19","1020"
"19","19","1028"
"19","19","1047"
"19","19","1083"
"19","19","1084"
"19","19","1112"
"23","23","780"
"23","23","781"
"23","23","790"
"23","23","1047"
"23","23","1051"
"23","23","1052"
"23","23","1059"
"24","24","781"
"24","24","1020"
"24","24","1028"
"24","24","1047"
"24","24","1065"
"24","24","1071"
"24","24","1083"
"24","24","1084"
"24","24","1090"
"24","24","1126"
"24","24","1143"
"25","25","781"
"25","25","790"
"25","25","1011"
"25","25","1012"
"25","25","1047"
"25","25","1073"
"25","25","1074"
"25","25","1083"
"25","25","1112"
"27","27","780"
"27","27","781"
"27","27","1047"
"28","28","780"
"28","28","781"
"28","28","1015"
"28","28","1016"
"30","30","780"
"30","30","1126"
"31","31","780"
"31","31","781"
"31","31","1047"
"32","32","781"
"32","32","790"
"32","32","1047"
"32","32","1073"
"32","32","1074"
"32","32","1083"
"32","32","1112"
"33","33","780"
"33","33","781"
"33","33","1047"
"34","34","780"
"34","34","781"
"34","34","1047"
"35","35","780"
"35","35","781"
"35","35","1047"
"35","35","1112"
"35","35","1126"
"37","37","780"
"37","37","781"
"37","37","1047"
"41","41","780"
"41","41","781"
"41","41","1002"
"41","41","1047"
"41","41","1126"
"42","42","780"
"42","42","781"
"42","42","1047"
"42","42","1126"
"45","45","780"
"45","45","781"
"45","45","1047"
"45","45","1112"
"48","48","780"
"48","48","781"
"48","48","1112"
"51","51","780"
"51","51","781"
"51","51","790"
"51","51","1047"
"53","53","780"
"53","53","781"
"53","53","1047"
"54","54","780"
"54","54","1006"
"54","54","1007"
"54","54","1009"
"54","54","1047"
"54","54","1095"
"54","54","1096"
"57","57","1047"
"57","57","1074"
"57","57","1139"
"57","57","1140"
"57","57","1141"
"62","62","781"
"62","62","1020"
"62","62","1028"
"62","62","1047"
"62","62","1083"
"62","62","1084"
"62","62","1112"
"62","62","1143"
"65","65","780"
"65","65","781"
"65","65","1047"
"66","66","780"
"66","66","781"
"66","66","1001"
"66","66","1047"
"66","66","1056"
"66","66","1057"
"66","66","1092"
"69","69","780"
"69","69","781"
"69","69","1047"
"71","71","780"
"71","71","781"
"71","71","1092"
"72","72","780"
"72","72","781"
"72","72","1000"
"72","72","1090"
"72","72","1112"
"72","72","1126"
"72","72","1142"
"73","73","780"
"73","73","781"
"73","73","1047"
"74","74","779"
"77","77","780"
"77","77","781"
"77","77","1047"
"77","77","1074"
"77","77","1083"
"77","77","1085"
"77","77","1086"
"77","77","1112"
"78","78","780"
"78","78","781"
"78","78","1047"
"79","79","781"
"79","79","1047"
"80","80","780"
"80","80","781"
"80","80","1047"
"82","82","780"
"82","82","781"
"82","82","1047"
