"id","name","class","ordem","active"
"1","open","open","10","Y"
"2","scheduled","scheduled","20","Y"
"3","in_progress","in_progress","30","Y"
"4","ready_to_bill","ready_to_bill","40","Y"
"5","billed","billed","50","Y"
"6","paid","paid","70","Y"
"7","closed","closed","85","Y"
"8","no_job","no_job","46","Y"
"9","lien","lien","90","Y"
"10","partial_paid","partial_paid","60","Y"
"11","open-reschedule","open-reschedule","15","Y"
"12","pending","pending","17","Y"
"13","revise_to_bill","revise_to_bill","45","Y"
"14","docusign_sent","docusign_sent","16","Y"
"15","uploading","uploading","35","Y"
"16","scheduled_partial","scheduled_partial","19","Y"
"17","ready_to_install","ready_to_install","18","Y"
"18","ready_scheduled","ready_scheduled","20","Y"
"19","review","review","39","Y"
"20","uploading_pics","uploading_pics","36","Y"
"21","preparing_billing","preparing_billing","37","Y"
"22","comparative","comparative","25","Y"
"23","nojob_review","nojob_review","47","Y"
"24","revise_payment","revise_payment","65","Y"
