"assignment_id","job_type"
"31577","1"
"31576","1"
"31575","2"
"31574","1"
"31573","2"
"31572","1,8"
"31571","3"
"31570","8"
"31569","2"
"31568","1"
"31567","2"
"31566","1,11"
"31565","3"
"31564","1"
"31563","1"
"31562","3"
"31561","2"
"31560","2"
"31559","1"
"31558","1"
"31557","1"
"31556","3"
"31555","1"
"31554","1,11"
"31553","1"
"31552","1"
"31551","1"
"31550","1"
"31549","2"
"31548","1"
"31547","2"
"31546","2"
"31545","3"
"31544","1,11"
"31543","2"
"31542","1"
"31541","2"
"31540","3"
"31539","1"
"31538","2"
"31537","1"
"31536","1"
"31535","3"
"31534","2"
"31533","1"
"31532","1"
"31531","1,11"
"31530","2"
"31529","3"
"31527","3"
"31526","2"
"31525","1"
"31524","1,12"
"31523","1"
"31522","1"
"31521","2"
"31520","1,11"
"31519","1"
"31518","1"
"31517","1,11"
"31516","3"
"31515","1"
"31514","1"
"31513","1"
"31512","1"
"31511","2"
"31510","1"
"31509","1"
"31508","1"
"31507","1"
"31506","1"
"31505","1"
"31504","1"
"31503","1"
"31502","3"
"31501","1"
"31500","1"
"31499","1"
"31498","2"
"31497","1"
"31496","1,12"
"31495","2"
"31494","1"
"31493","1"
"31492","1,11"
"31491","11"
"31490","1"
"31489","1"
"31488","1,8"
"31487","1,11"
"31486","1"
"31485","1"
"31484","2"
"31483","11"
"31482","1"
"31481","1"
"31480","1,11"
"31479","1"
"31478","2"
"31477","1"
"31476","2"
"31475","1,12"
"31474","1"
"31473","1"
"31472","2"
"31471","11"
"31470","1"
"31469","1"
"31468","1,11"
"31467","2"
"31466","2"
"31465","1"
"31464","1,11"
"31463","1"
"31462","11"
"31461","11,12"
"31460","1"
"31459","1"
"31458","1"
"31457","1"
"31456","1"
"31455","2"
"31454","1"
"31453","1"
"31452","1"
"31451","2"
"31450","1"
"31449","1,11"
"31448","1"
"31447","2"
"31446","1"
"31445","2"
"31444","2"
"31443","2"
"31442","2"
"31441","4"
"31440","1"
"31439","1"
"31438","1"
"31437","1"
"31436","1"
"31435","1"
"31434","1"
"31433","1"
"31432","3"
"31431","1"
"31430","3"
"31429","11"
"31428","2"
"31427","1"
"31426","1"
"31425","11"
"31424","1"
"31423","1"
"31422","3"
"31421","11"
"31420","2"
"31419","4"
"31418","1"
"31417","1"
"31416","11"
"31415","1"
"31414","2"
"31413","1"
"31412","2"
"31411","1"
"31410","1"
"31409","1"
"31408","2"
"31407","1"
"31406","4"
"31405","11"
"31404","1"
"31403","1"
"31402","1"
"31401","1"
"31400","1"
"31399","1"
"31398","1,11"
"31397","1"
"31396","1,12"
"31395","1"
"31394","1"
"31393","1"
"31392","2"
"31391","1"
"31390","3"
"31389","1"
"31388","1"
"31387","1"
"31386","1"
"31385","3"
"31384","1"
"31383","2"
"31382","1,11"
"31381","11"
"31380","1"
"31379","2"
"31378","1"
"31377","1"
"31376","1,11"
"31375","1"
"31374","3"
"31373","1"
"31372","1"
"31371","1"
"31370","11"
"31369","11"
"31368","1"
"31367","1"
"31366","2"
"31365","1"
"31364","11"
"31363","7"
"31362","2"
"31361","1"
"31360","1"
"31359","1"
"31358","7"
"31357","1"
"31356","7"
"31355","2"
"31354","1"
"31353","2"
"31352","2"
"31351","2"
"31350","11"
"31349","2"
"31348","1"
"31347","1"
"31346","1"
"31345","1"
"31344","3"
"31343","11"
"31342","1"
"31341","1"
"31340","1"
"31339","1"
"31338","1"
"31337","1"
"31336","2"
"31335","7"
"31334","1"
"31333","1"
"31332","1"
"31331","11"
"31330","1,11"
"31329","1"
"31328","1,11"
"31327","1"
"31326","1"
"31325","1,8"
"31324","7"
"31323","1"
"31322","1"
"31321","3"
"31320","1"
"31319","1"
"31318","2"
"31317","2"
"31316","1,11"
"31315","1"
"31314","7"
"31313","1,11"
"31312","1"
"31311","1"
"31310","2"
"31309","1"
"31308","1"
"31307","1"
"31306","4"
"31305","2"
"31304","1"
"31303","11"
"31302","1"
"31301","2"
"31299","4"
"31298","1"
"31297","1"
"31296","11"
"31295","2"
"31294","1"
"31293","2"
"31292","1"
"31291","3"
"31290","11"
"31289","1"
"31288","7"
"31287","7"
"31286","1"
"31285","11"
"31284","1"
"31283","1"
"31282","2"
"31281","1"
"31280","1"
"31279","1"
"31278","1"
"31277","3"
"31276","9"
"31275","1"
"31274","1"
"31273","7"
"31272","1"
"31271","1"
"31270","1"
"31269","3"
"31268","1"
"31267","1"
"31266","2"
"31265","2"
"31264","7"
"31263","1"
"31262","1"
"31261","3"
"31260","2"
"31259","1"
"31258","2"
"31257","2"
"31256","1"
"31255","1"
"31254","1"
"31253","3"
"31252","2"
"31251","1"
"31250","1"
"31249","1"
"31248","1"
"31247","1"
"31246","1"
"31245","1,11"
"31244","1"
"31243","1"
"31242","1"
"31241","2"
"31240","4"
"31239","7"
"31238","1,11"
"31237","1,8"
"31236","2"
"31235","1,11"
"31234","1"
"31233","1"
"31232","1"
"31231","2"
"31230","1"
"31229","2"
"31228","1"
"31227","1"
"31226","13"
"31225","1"
"31224","4"
"31223","1"
"31222","1"
"31221","1"
"31220","1"
"31219","2"
"31218","11"
"31217","11"
"31216","2"
"31215","1"
"31214","1"
"31213","2"
"31212","1"
"31211","1"
"31210","1"
"31209","1"
"31208","4"
"31207","1"
"31206","2"
"31205","1"
"31204","1"
"31203","2"
"31202","1"
"31201","1"
"31200","1"
"31199","1"
"31198","3"
"31197","1,11"
"31196","3"
"31195","1"
"31194","1,11"
"31193","1"
"31192","1"
"31191","1"
"31190","1"
"31189","1"
"31188","7"
"31187","11"
"31186","2"
"31185","1"
"31184","1"
"31183","1,5"
"31182","1"
"31181","1"
"31180","1"
"31179","1"
"31178","1"
"31177","1"
"31176","1"
"31175","1"
"31174","1"
"31173","1"
"31172","1,8"
"31171","8,11"
"31170","1"
"31169","11"
"31168","11"
"31167","8"
"31166","1"
"31165","1"
"31164","11"
"31163","1"
"31162","2"
"31161","2"
"31160","1"
"31159","11"
"31158","2"
"31157","1"
"31156","1"
"31155","1"
"31154","1"
"31153","8"
"31152","1"
"31151","1"
"31150","1"
"31149","1"
"31148","2"
"31147","11"
"31146","1"
"31145","1"
"31144","1"
"31143","3"
"31142","1"
"31141","1"
"31140","2"
"31139","1"
"31138","1"
"31137","2"
"31136","1,11"
"31135","2"
"31134","1"
"31133","4"
"31132","1"
"31131","1"
"31130","1"
"31129","3"
"31128","2"
"31127","1"
"31126","1"
"31125","1"
"31124","1"
"31123","4"
"31122","2"
"31121","2"
"31120","1"
"31119","4"
"31118","4"
"31117","1"
"31116","4"
"31115","4"
"31114","2"
"31113","1"
"31112","2"
"31111","2"
"31110","1"
"31109","1"
"31108","7"
"31107","1"
"31106","1"
"31105","11"
"31104","1"
"31103","1,8"
"31102","1,11"
"31101","1"
"31100","11"
"31099","1"
"31098","2"
"31097","2"
"31096","1"
"31095","1"
"31094","1,11"
"31093","1"
"31092","1"
"31091","3"
"31090","1"
"31089","11"
"31088","11"
"31087","1"
"31086","1"
"31085","11"
"31084","1"
"31083","3"
"31082","1"
"31081","1"
"31080","11"
"31079","1"
"31078","1"
"31077","1"
"31076","3"
"31075","1,11"
"31074","11"
"31073","1"
"31072","1"
"31071","1"
"31070","1"
"31069","11"
"31068","3"
"31067","1"
"31066","1"
"31065","11"
"31064","1"
"31063","1,11"
"31062","1"
"31061","11"
"31060","1"
"31059","11"
"31058","1"
"31057","1"
"31056","3"
"31055","7"
"31054","2"
"31053","1"
"31052","11"
"31051","1"
"31050","4"
"31049","1,11"
"31048","2"
"31047","11"
"31046","3"
"31045","1"
"31044","1,11"
"31043","11"
"31042","1"
"31041","1"
"31040","1,11"
"31039","1"
"31038","11"
"31037","1"
"31036","1"
"31035","1,11"
"31034","1,11"
"31033","1"
"31032","1,11"
"31031","1"
"31030","1"
"31029","1"
"31028","1"
"31027","2"
"31026","3"
"31025","2"
"31024","2"
"31023","1"
"31022","1"
"31021","1"
"31020","1"
"31019","2"
"31018","7"
"31017","7"
"31016","2"
"31015","7"
"31014","1"
"31013","3"
"31012","1"
"31011","4"
"31010","4"
"31009","1"
"31008","1"
"31007","1"
"31006","1"
"31005","1"
"31004","2"
"31003","2"
"31002","1"
"31001","1"
"31000","1,12"
"30999","1"
"30998","1"
"30997","2"
"30996","2"
"30995","2"
"30994","1"
"30993","1"
"30992","2"
"30991","2"
"30990","2"
"30989","3"
"30988","1"
"30987","7"
"30986","1"
"30985","2"
"30984","2"
"30983","1"
"30982","1"
"30981","4"
"30980","1"
"30979","2"
"30978","2"
"30977","1"
"30976","1"
"30975","2"
"30974","1"
"30973","2"
"30972","1"
"30971","1"
"30970","1"
"30969","1"
"30968","1"
"30967","2"
"30966","1,11"
"30965","1"
"30964","3"
"30963","1"
"30962","3"
"30961","3"
"30960","2"
"30959","1"
"30958","1"
"30957","1"
"30956","2"
"30955","1"
"30954","1"
"30953","1"
"30952","3"
"30951","1"
"30950","1,11"
"30949","1"
"30948","1"
"30947","1"
"30946","1"
"30945","11"
"30944","1"
"30943","1"
"30942","11"
"30941","3"
"30940","1"
"30939","1"
"30938","11"
"30937","1,12"
"30936","1"
"30935","1"
"30934","1"
"30933","1"
"30932","1"
"30931","2"
"30930","2"
"30929","2"
"30928","2"
"30927","1"
"30926","1"
"30925","1"
"30924","1"
"30923","1"
"30922","1"
"30921","4"
"30920","2"
"30919","1"
"30918","2"
"30917","11"
"30916","1"
"30915","1"
"30914","1"
"30913","1"
"30912","1"
"30911","1"
"30910","7"
"30909","2"
"30908","7"
"30907","1"
"30906","7"
"30905","2"
"30904","1"
"30903","1"
"30902","1"
"30901","4"
"30900","1"
"30899","1"
"30898","1,11"
"30897","1"
"30896","1"
"30895","1"
"30894","1,11"
"30893","1"
"30892","2"
"30891","3"
"30890","3"
"30889","1"
"30888","2"
"30887","7"
"30886","1,11"
"30885","1"
"30884","2"
"30883","2"
"30882","1"
"30881","11"
"30880","1"
"30879","1,11"
"30878","2"
"30877","2"
"30876","1"
"30875","4"
"30874","4"
"30873","1"
"30872","2"
"30871","1"
"30870","1"
"30869","1"
"30868","1"
"30867","3"
"30866","1"
"30865","2"
"30864","2,7"
"30863","2"
"30862","1,12"
"30861","1"
"30860","2"
"30859","3"
"30858","1"
"30857","1"
"30856","1"
"30855","1"
"30854","1"
"30853","3"
"30852","1"
"30851","1"
"30850","1"
"30849","1,11"
"30848","1"
"30847","1"
"30846","1,11"
"30845","11"
"30844","1"
"30843","1"
"30842","2"
"30841","11"
"30840","1"
"30839","1"
"30838","1"
"30837","1"
"30836","1"
"30835","1"
"30834","1"
"30833","1"
"30832","1"
"30831","1"
"30830","3"
"30829","1"
"30828","1"
"30827","1"
"30826","2,7"
"30825","1"
"30824","1"
"30823","1"
"30822","2"
"30821","1"
"30820","1"
"30819","1"
"30818","1"
"30817","2"
"30816","2"
"30815","2"
"30814","1"
"30813","1"
"30812","1"
"30811","1"
"30810","1"
"30809","3"
"30808","1"
"30807","1"
"30806","1"
"30805","1"
"30804","1"
"30803","1"
"30802","1"
"30801","1"
"30800","1"
"30799","1"
"30798","1,12"
"30797","1,11"
"30796","1"
"30795","1"
"30794","1"
"30793","1"
"30792","1"
"30791","2"
"30790","1,12"
"30789","1"
"30788","1"
"30787","1"
"30786","1"
"30784","1"
"30783","1"
"30782","2"
"30781","2"
"30780","11"
"30779","2"
"30778","1"
"30777","1"
"30776","1"
"30775","3"
"30774","1"
"30773","1"
"30772","1"
"30771","1"
"30770","1"
"30769","1"
"30768","1"
"30767","2"
"30766","7"
"30765","1"
"30764","7"
"30763","2"
"30762","1"
"30761","1"
"30760","2"
"30759","1"
"30758","1"
"30757","1"
"30756","1"
"30755","1"
"30754","2"
"30753","1"
"30752","1"
"30751","1"
"30750","1"
"30749","1"
"30748","1"
"30747","1"
"30746","1"
"30745","2"
"30744","1"
"30743","1"
