"id","name","created_at","updated_at"
"9","Hurricane Michael","2018-12-17 17:15:59","2018-12-17 17:15:59"
"10","Hurricane Barry","2019-7-14 10:38:02","2019-7-14 10:38:02"
"14","Hurricane Dorian","2019-9-5 14:14:05","2019-9-5 14:14:05"
"15","Storm Imelda TX","2019-9-21 12:32:05","2019-9-21 12:32:05"
"16","Storm Nestor","2019-10-21 14:17:31","2019-10-21 14:17:31"
"17","Storm Olga","2019-10-28 13:18:37","2019-10-28 13:18:37"
"18","Hurricane Hanna","2020-7-26 15:16:38","2020-7-26 15:16:38"
"20","Hurricane Isaias","2020-8-4 13:00:37","2020-8-4 13:00:37"
"22","Hurricane Laura","2020-8-27 10:05:26","2020-12-8 09:40:51"
"25","Hurricane Sally","2020-9-16 13:15:29","2020-9-16 13:15:29"
"26","Hurricane Delta","2020-10-10 16:56:48","2020-10-10 16:56:48"
"28","Hurricane Zeta","2020-10-29 09:17:43","2020-10-29 09:17:43"
"33","Tropical Storm ETA","2020-11-9 09:39:47","2020-11-9 09:39:47"
"34","May 21 LA SORM","2021-5-19 11:00:22","2021-5-19 11:00:22"
"35","TS Claudette","2021-6-21 16:03:11","2021-6-21 16:03:11"
"36","Hurricane Elsa","2021-7-6 17:15:44","2021-7-6 17:15:44"
"37","TS Fred","2021-8-16 17:35:04","2021-8-16 17:35:04"
"38","Hurricane IDA",,
"39","Christmas","2021-12-21 14:26:23","2021-12-21 14:26:23"
"40","CAT - TORNANDO - Arabi","2022-3-23 14:58:23","2022-3-23 14:58:23"
