"assignment_id"	"tech_id"	"created_by"	"updated_by"	"start_date"	"end_date"
		"73"	"73"		
"410"	"7"	"73"	"73"	"2020-4-13 16:51:04"	"2020-4-13 17:51:16"
"478"	"4"	"73"	"73"	"2019-5-2 08:30:00"	"2019-5-2 09:30:00"
"484"	"6"	"73"	"73"	"2019-5-2 08:00:00"	"2019-5-2 09:00:00"
"485"	"28"	"73"	"73"	"2019-5-2 10:00:00"	"2019-5-2 11:00:00"
"488"	"28"	"73"	"73"	"2019-5-2 19:00:00"	"2019-5-2 20:00:00"
"489"	"7"	"73"	"73"	"2019-5-2 20:00:00"	"2019-5-2 21:00:00"
"491"	"6"	"73"	"73"	"2019-5-13 09:30:00"	"2019-5-13 10:30:00"
"495"	"28"	"73"	"73"	"2019-5-3 17:00:00"	"2019-5-3 18:00:00"
"496"	"15"	"73"	"73"	"2019-5-4 12:30:00"	"2019-5-4 13:30:00"
"497"	"28"	"73"	"73"	"2019-5-5 08:00:00"	"2019-5-5 09:00:00"
"498"	"28"	"73"	"73"	"2019-5-6 10:00:00"	"2019-5-6 11:00:00"
"499"	"4"	"73"	"73"	"2019-5-6 11:00:00"	"2019-5-6 12:00:00"
"500"	"28"	"73"	"73"	"2019-5-7 14:00:00"	"2019-5-7 15:00:00"
"501"	"7"	"73"	"73"	"2019-5-6 14:00:00"	"2019-5-6 15:00:00"
"502"	"28"	"73"	"73"	"2019-5-6 17:00:00"	"2019-5-6 18:00:00"
"503"	"4"	"73"	"73"	"2019-5-17 13:30:00"	"2019-5-17 14:30:00"
"504"	"7"	"73"	"73"	"2019-5-6 14:30:00"	"2019-5-6 15:30:00"
"505"	"28"	"73"	"73"	"2019-5-6 14:00:00"	"2019-5-6 15:00:00"
"506"	"7"	"73"	"73"	"2019-5-6 14:00:00"	"2019-5-6 15:00:00"
"507"	"28"	"73"	"73"	"2019-5-6 18:00:00"	"2019-5-6 19:00:00"
"508"	"28"	"73"	"73"	"2019-5-7 17:00:00"	"2019-5-7 18:00:00"
"509"	"6"	"73"	"73"	"2019-5-6 19:00:00"	"2019-5-6 20:00:00"
"510"	"7"	"73"	"73"	"2019-5-7 08:00:00"	"2019-5-7 09:00:00"
"511"	"7"	"73"	"73"	"2019-5-7 10:00:00"	"2019-5-7 11:00:00"
"512"	"7"	"73"	"73"	"2019-5-7 16:30:00"	"2019-5-7 17:30:00"
"513"	"28"	"73"	"73"	"2019-5-7 11:00:00"	"2019-5-7 12:00:00"
"514"	"6"	"73"	"73"	"2019-5-7 14:00:00"	"2019-5-7 15:00:00"
"515"	"7"	"73"	"73"	"2019-5-7 17:00:00"	"2019-5-7 18:00:00"
"516"	"4"	"73"	"73"	"2019-5-7 17:00:00"	"2019-5-7 18:00:00"
"517"	"7"	"73"	"73"	"2019-5-7 14:15:00"	"2019-5-7 15:15:00"
"518"	"15"	"73"	"73"	"2019-5-8 08:00:00"	"2019-5-8 09:00:00"
"519"	"28"	"73"	"73"	"2019-5-7 18:00:00"	"2019-5-7 19:00:00"
"520"	"15"	"73"	"73"	"2019-5-7 19:00:00"	"2019-5-7 20:00:00"
"521"	"4"	"73"	"73"	"2019-5-8 16:31:00"	"2019-5-8 17:31:00"
"522"	"15"	"73"	"73"	"2019-5-8 11:30:00"	"2019-5-8 12:30:00"
"524"	"15"	"73"	"73"	"2019-5-8 15:00:00"	"2019-5-8 16:00:00"
"525"	"4"	"73"	"73"	"2019-5-8 15:00:00"	"2019-5-8 16:00:00"
"526"	"6"	"73"	"73"	"2019-5-9 14:00:00"	"2019-5-9 15:00:00"
"527"	"15"	"73"	"73"	"2019-5-8 17:30:00"	"2019-5-8 18:30:00"
"528"	"6"	"73"	"73"	"2019-5-8 17:00:00"	"2019-5-8 18:00:00"
"529"	"4"	"73"	"73"	"2019-5-9 10:00:00"	"2019-5-9 11:00:00"
"530"	"15"	"73"	"73"	"2019-5-9 08:30:00"	"2019-5-9 09:30:00"
"532"	"15"	"73"	"73"	"2019-5-13 09:30:00"	"2019-5-13 10:30:00"
"533"	"15"	"73"	"73"	"2019-5-10 16:15:00"	"2019-5-10 17:15:00"
"534"	"15"	"73"	"73"	"2019-5-9 17:00:00"	"2019-5-9 18:00:00"
"535"	"28"	"73"	"73"	"2019-5-10 11:30:00"	"2019-5-10 12:30:00"
"537"	"15"	"73"	"73"	"2019-5-10 14:00:00"	"2019-5-10 15:00:00"
"538"	"28"	"73"	"73"	"2019-5-11 10:00:00"	"2019-5-11 11:00:00"
"539"	"28"	"73"	"73"	"2019-5-10 17:00:00"	"2019-5-10 18:00:00"
"540"	"15"	"73"	"73"	"2019-5-11 15:00:00"	"2019-5-11 15:30:00"
"541"	"15"	"73"	"73"	"2019-5-11 17:00:00"	"2019-5-11 17:30:00"
"544"	"6"	"73"	"73"	"2019-5-13 10:30:00"	"2019-5-13 11:30:00"
"546"	"28"	"73"	"73"	"2019-5-13 14:00:00"	"2019-5-13 15:00:00"
"547"	"15"	"73"	"73"	"2019-5-13 14:00:00"	"2019-5-13 15:00:00"
"548"	"15"	"73"	"73"	"2019-5-13 17:30:00"	"2019-5-13 18:30:00"
"549"	"15"	"73"	"73"	"2019-5-14 10:00:00"	"2019-5-14 11:00:00"
"550"	"4"	"73"	"73"	"2019-5-15 09:00:00"	"2019-5-15 09:30:00"
"551"	"28"	"73"	"73"	"2019-5-13 18:30:00"	"2019-5-13 19:30:00"
"552"	"6"	"73"	"73"	"2019-5-14 08:00:00"	"2019-5-14 09:00:00"
"553"	"15"	"73"	"73"	"2019-5-14 11:00:00"	"2019-5-14 12:00:00"
"554"	"15"	"73"	"73"	"2019-5-14 12:00:00"	"2019-5-14 13:00:00"
"555"	"4"	"73"	"73"	"2019-5-14 18:00:00"	"2019-5-14 19:00:00"
"556"	"15"	"73"	"73"	"2019-5-14 19:00:00"	"2019-5-14 20:00:00"
"557"	"4"	"73"	"73"	"2019-5-23 14:00:00"	"2019-5-23 15:00:00"
"558"	"15"	"73"	"73"	"2019-5-15 13:00:00"	"2019-5-15 14:00:00"
"561"	"6"	"73"	"73"	"2019-5-15 15:00:00"	"2019-5-15 16:00:00"
"563"	"6"	"73"	"73"	"2019-5-16 08:00:00"	"2019-5-16 09:00:00"
"564"	"15"	"73"	"73"	"2019-5-16 09:00:00"	"2019-5-16 10:00:00"
"565"	"15"	"73"	"73"	"2019-5-16 12:30:00"	"2019-5-16 13:30:00"
"566"	"15"	"73"	"73"	"2019-5-21 18:00:00"	"2019-5-21 19:00:00"
"567"	"6"	"73"	"73"	"2019-5-17 10:30:00"	"2019-5-17 11:30:00"
"568"	"15"	"73"	"73"	"2019-5-21 09:00:00"	"2019-5-21 10:00:00"
"569"	"6"	"73"	"73"	"2019-5-17 15:00:00"	"2019-5-17 16:00:00"
"570"	"15"	"73"	"73"	"2019-5-20 11:45:00"	"2019-5-20 12:45:00"
"571"	"15"	"73"	"73"	"2019-5-20 14:00:00"	"2019-5-20 15:00:00"
"572"	"4"	"73"	"73"	"2019-5-21 13:00:00"	"2019-5-21 14:00:00"
"573"	"15"	"73"	"73"	"2019-5-22 08:00:00"	"2019-5-22 09:00:00"
"574"	"28"	"73"	"73"	"2019-5-22 08:00:00"	"2019-5-22 09:00:00"
"575"	"28"	"73"	"73"	"2019-5-31 11:00:00"	"2019-5-31 12:00:00"
"576"	"15"	"73"	"73"	"2019-5-28 08:00:00"	"2019-5-28 09:00:00"
"577"	"7"	"73"	"73"	"2019-10-16 16:00:00"	"2019-10-16 17:00:00"
"578"	"15"	"73"	"73"	"2019-5-22 10:00:00"	"2019-5-22 11:00:00"
"579"	"15"	"73"	"73"	"2019-5-22 13:00:00"	"2019-5-22 14:00:00"
"580"	"15"	"73"	"73"	"2019-5-29 10:00:00"	"2019-5-29 11:00:00"
"581"	"15"	"73"	"73"	"2019-5-23 08:00:00"	"2019-5-23 09:00:00"
