"id_assignment","id_job_type","service_date","pitch","sandbags","created_by","updated_by","tarp_situation","plywoods","s2x4x8","s2x4x12","s2x4x16","job_info"
"9","1","2018-12-13",,"25","73","73",,,,,,
"11","1","2018-12-15",,"31","73","73",,,,,,
"12","2","2018-12-17",,"13","73","73","2",,,,,
"57","1","2018-12-21",,"29","73","73",,,,,,
"62","5","2019-2-21",,,"73","73",,,,,,"1XL, 1L, 10 fans, extraction

Days of equipment: 5-7 days"
"60","1","2018-12-21",,"25","73","73",,,,,,
"59","1","2018-12-21",,"31","73","73",,,,,,
"64","1","2018-12-21",,"21","73","73",,,,,,
"65","1","2018-12-24",,"22","73","73",,,,,,
"55","2","2019-12-26",,"0","73","73","1",,,,,
"66","2","2018-12-26",,"0","73","73","1",,,,,
"67","8","2018-12-27",,,"73","73",,,,,,"Covered a hole on an outside wall - 02 Plywood 4x8 ft."
"67","1","2018-12-27",,"0","73","73",,,,,,
"67","9","2018-12-27",,,"73","73",,,,,,"The affected area is the entire house. There was smoke damage along the entire structure, all the contents were removed prior to our arrival. We HEPA vacuum all the walls, ceiling and floor. All the debris were removed from the second floor hallway. Lastly, we sanitize the entire property"
"56","2","2018-12-28",,"0","73","73","1",,,,,
"69","1","2018-12-28",,"0","73","73",,,,,,
"18","2","2018-12-28",,"22","73","73","2",,,,,
"70","1","2018-12-29",,"27","73","73",,,,,,
"72","1","2018-12-29",,"26","73","73",,,,,,
"75","1","2018-12-31",,"19","73","73",,,,,,
"74","1","1970-1-1",,"29","73","73",,,,,,
"76","2","2019-1-3",,"0","73","73","1",,,,,
"84","4","2019-1-8",,"0","73","73",,,,,,
"87","2","2019-1-10",,"21","73","73","2",,,,,
"90","1","2019-1-11",,"22","73","73",,,,,,
"78","2","2019-1-11",,"0","73","73","1",,,,,
"83","2","2019-1-12",,"0","73","73","1",,,,,
"81","2","2019-1-9",,"0","73","73","1",,,,,
"91","2","2019-1-14",,"0","73","73","1",,,,,
"96","1","2019-1-23",,"58","73","73",,,,,,
"95","2","2019-1-23",,"0","73","73","1",,,,,
"92","2","2019-1-23",,"0","73","73","1",,,,,
"101","1","2019-1-26",,"52","73","73",,,,,,
"102","1","2019-1-26",,"22","73","73",,,,,,
"103","1","2019-1-26",,"38","73","73",,,,,,
"99","1","1970-1-1",,"25","73","73",,,,,,
"104","1","2019-1-27",,"19","73","73",,,,,,
"105","1","2019-1-27",,"38","73","73",,,,,,
"108","1","2019-1-27",,"38","73","73",,,,,,
"109","1","2019-1-27",,"26","73","73",,,,,,
"107","1","2019-1-28",,"12","73","73",,,,,,
