"length","heigth","value","stock_id","id_assignment","id_job_type"
"20","10","1","9","234","1"
"40","27","1","9","235","1"
"26","32","1","9","353","1"
"28","27","1","9","352","1"
"30","15","1","9","363","1"
"30","20","1","9","363","1"
"50","28","1","9","358","1"
"30","20","0","9","357","2"
"30","20","1","9","357","2"
"45","28","1","9","366","1"
"37","33","1","9","375","1"
"30","20","1","9","367","2"
"50","30","2","9","373","2"
"44","25","1","9","384","1"
"50","30","1","9","389","1"
"60","40","1","9","400","1"
"50","28","1","9","382","2"
"30","20","1","9","359","2"
"30","20","0","9","407","1"
"30","20","1","9","406","1"
"40","30","1","9","406","1"
"40","30","1","9","405","1"
"30","20","1","9","417","1"
"40","30","1","9","426","1"
"40","60","1","9","430","1"
"30","20","1","9","430","1"
"50","30","1","9","424","4"
"30","20","1","9","434","1"
"40","30","1","9","437","1"
"40","30","1","9","441","1"
"55","40","1","9","438","1"
"40","30","1","9","444","1"
"8","8","1","9","443","1"
"4","8","1","9","443","1"
"30","20","1","9","446","1"
"50","30","1","9","448","1"
"50","30","1","9","454","1"
"30","20","1","9","476","1"
"30","15","0","9","477","1"
"30","20","1","9","480","1"
"25","33","1","9","481","1"
"50","30","1","9","457","2"
"30","20","1","9","433","2"
"30","20","1","9","479","2"
"40","30","1","9","483","1"
"50","30","2","9","478","2"
"30","20","1","9","485","1"
"30","20","1","9","488","1"
"60","40","1","9","489","1"
"55","35","1","9","495","1"
"26","37","1","9","496","1"
"18","24","1","9","496","1"
"30","48","1","9","497","1"
"20","40","1","9","498","1"
"25","50","1","9","499","1"
"30","20","1","9","506","1"
"30","20","2","9","504","1"
"40","20","1","9","509","1"
"40","28","1","9","510","1"
"48","30","1","9","511","1"
"54","40","1","9","513","1"
"50","30","1","9","517","4"
"30","20","1","9","500","2"
"30","20","1","9","515","3"
"30","20","1","9","512","2"
"50","30","2","9","514","1"
"30","20","1","9","519","1"
"37","28","1","9","519","1"
"30","20","1","9","520","1"
"30","30","1","9","518","1"
"30","20","1","9","525","1"
"40","30","1","9","524","1"
"28","20","1","9","528","1"
"27","20","1","9","528","1"
"40","30","1","9","521","1"
"30","20","1","9","527","1"
"40","55","1","9","530","1"
"45","30","1","9","529","1"
"30","20","1","9","529","1"
"38","30","1","9","529","1"
"60","40","1","9","526","2"
"30","20","2","9","534","1"
"50","25","1","9","534","1"
"30","20","1","9","535","1"
"30","20","1","9","537","1"
"40","30","1","9","539","1"
"33","60","1","9","533","1"
"40","30","1","9","538","1"
"20","25","1","9","58","1"
"28","20","1","9","58","1"
"25","20","1","9","541","1"
"28","20","1","9","541","1"
"30","20","1","9","491","2"
"60","40","1","9","532","2"
"30","20","1","9","544","2"
"30","20","1","9","546","1"
"15","30","1","9","551","1"
"30","37","1","9","549","1"
"6","10","1","9","556","1"
"45","30","1","9","555","1"
"50","40","1","9","561","1"
"25","20","1","9","558","1"
"30","6","1","9","558","1"
"30","20","1","9","564","1"
"50","18","1","9","563","1"
"50","18","1","9","563","1"
"30","20","1","9","567","1"
"60","30","1","9","569","1"
"45","30","1","9","503","1"
"20","20","1","9","571","1"
"45","30","1","9","571","1"
"10","15","1","9","568","1"
"10","12","1","9","568","1"
"40","30","1","9","572","1"
"30","20","2","9","574","4"
"30","40","1","9","578","1"
"15","10","1","9","577","1"
"40","30","1","9","582","1"
"18","17","1","9","557","2"
"35","25","1","9","557","2"
"50","30","1","9","584","2"
"40","30","1","9","596","2"
"35","30","1","9","597","1"
"20","30","2","9","592","2"
"50","30","1","9","600","4"
"30","20","1","9","598","2"
"25","28","1","9","602","1"
"30","13","1","9","606","3"
"30","20","1","9","603","2"
"30","20","1","9","609","1"
"68","50","1","9","610","1"
"30","20","1","9","611","1"
"30","20","1","9","612","1"
"45","30","1","9","613","1"
"50","30","1","9","614","1"
"64","68","1","9","615","1"
"50","20","1","9","617","1"
"50","22","1","9","616","1"
"50","30","1","9","620","1"
"25","25","1","9","622","1"
"45","35","1","9","626","1"
"30","20","1","9","623","1"
"30","20","1","9","627","1"
"50","40","1","9","626","1"
"45","30","1","9","625","1"
"36","39","1","9","621","1"
"40","26","1","9","621","1"
"38","26","1","9","621","1"
"38","34","1","9","621","1"
"38","27","1","9","621","1"
"46","20","1","9","621","1"
"55","40","1","9","608","2"
"230","250","1","9","630","2"
"40","30","2","9","633","4"
"30","20","1","9","635","1"
