"id_assignment","id_job_type","report"
"9","1","2"
"11","1","1"
"12","2","7"
"57","1","2"
"60","1","1"
"59","1","2"
"64","1","1"
"65","1","2"
"55","2","6"
"66","2","6"
"67","1","1"
"56","2","6"
"69","1","5"
"18","2","7"
"70","1","2"
"72","1","1"
"75","1","2"
"74","1","4"
"76","2","6"
"84","4","10"
"87","2","7"
"90","1","3"
"78","2","6"
"83","2","6"
"81","2","6"
"91","2","6"
"96","1","2"
"95","2","6"
"92","2","6"
"101","1","4"
"102","1","3"
"103","1","2"
"99","1","3"
"104","1","2"
"105","1","2"
"108","1","3"
"109","1","3"
"107","1","3"
"115","1","3"
"113","1","3"
"106","1","3"
"110","1","2"
"118","1","2"
"116","1","3"
"122","1","2"
"120","1","3"
"125","1","2"
"140","1","1"
"134","1","3"
"133","1","3"
"138","1","3"
"127","1","3"
"68","2","6"
"93","2","6"
"136","1","2"
"135","1","2"
"114","1","4"
"137","1","2"
"119","2","6"
"126","1","2"
"130","1","3"
"132","2","6"
"82","2","7"
"139","1","3"
"146","1","3"
"148","1","1"
"147","2","7"
"143","1","2"
"149","1","1"
"151","1","3"
"152","1","2"
"156","4","10"
"155","2","6"
"153","1","3"
"154","1","2"
"98","2","7"
"142","1","3"
"163","1","4"
"159","1","1"
"162","1","3"
"161","1","2"
"168","1","2"
"157","2","6"
"172","1","2"
"171","1","1"
"174","1","3"
"170","1","1"
"183","1","2"
"182","1","2"
"180","1","2"
"175","1","2"
"181","1","4"
"160","2","6"
"185","1","2"
"176","2","6"
"179","2","7"
"124","2","6"
"186","1","2"
"189","1","4"
"188","1","2"
"191","4","10"
"193","1","4"
"192","1","3"
"196","1","1"
"198","1","2"
"199","1","3"
"204","4","10"
"207","1","3"
"184","2","7"
"209","1","3"
"210","1","3"
"212","1","3"
"194","2","6"
"203","2","6"
"205","2","6"
"213","2","6"
"211","1","3"
"215","4","10"
"214","1","3"
"224","4","10"
"234","1","3"
"235","1","12.0"
"249","1","12"
"250","1","12"
"261","1","2"
"286","1","2"
"290","4","10"
"306","1","12"
"353","1","12.0"
"352","1","1.0"
"246","2","6"
"362","2","6"
"363","1","2.0"
"364","1","1"
"365","1","13"
"358","1","12.0"
"366","1","11.0"
"357","2","6.0"
"375","1","3.0"
"377","1","3"
"380","1","3"
"360","2","6"
"367","2","6.0"
"373","2","6.0"
"384","1","3.0"
"389","1","4.0"
"391","1","3"
"392","1","2"
"400","1","13.0"
"314","1","4"
"216","2","6"
"361","1","12"
"382","2","6"
"404","1","3"
"359","2","6.0"
"407","1","12.0"
"390","2","6"
"410","1","12"
"405","1","3.0"
"417","1","3.0"
"426","1","13.0"
"430","1","1.0"
"424","4","10.0"
"434","1","3.0"
"437","1","13.0"
"438","1","12.0"
"444","1","5.0"
"443","1","1.0"
"446","1","1.0"
"448","1","3.0"
"441","1","2.0"
"454","1","3.0"
"476","1","3.0"
"477","1","2.0"
"480","1","1.0"
"481","1","1.0"
"457","2","6.0"
"433","2","6.0"
"479","2","6.0"
"483","1","3.0"
"485","1","3.0"
"478","2","6.0"
"488","1","3.0"
"489","1","4.0"
"495","1","12.0"
"496","1","13.0"
"497","1","11.0"
"498","1","4.0"
"499","1","11.0"
"506","1","2.0"
"504","1","2.0"
"509","1","3"
"510","1","4.0"
"511","1","1.0"
"513","1","3.0"
"517","4","10.0"
"500","2","6.0"
"515","3","8.0"
"512","2","6.0"
"514","1","2.0"
"519","1","2.0"
"520","1","2.0"
"518","1","12.0"
