"id_assignment","id_job_type","report"
"1798","1","15,"
"1798","11","15,"
"1870","2","15,"
"2085","1","15,"
"2110","1","15,"
"2182","1","15,"
"2283","1","15,"
"2726","1","15,"
"2862","1","15,"
"2928","2","15,"
"2947","1","15,"
"2983","1","15,"
"3041","1","15,"
"3108","1","15,"
"3105","1","15,"
"3308","1","15,"
"3385","11","15,"
"3449","11","15,"
"3328","11","15,"
"3547","1","15,"
"3547","11","15,"
"3662","1","15,"
"3913","1","15,"
"4020","1","15,"
"4030","1","15,"
"3964","1","15,"
"3875","1","15,"
"4026","1","15,"
"4096","1","15,"
"3870","1","15,"
"4063","1","15,"
"3931","1","15,"
"3908","1","15,"
"3976","1","15,"
"3960","1","15,"
"3705","1","15,"
"4125","1","15,"
"3912","1","15,"
"4062","1","15,"
"3900","1","15,"
"4029","1","15,"
"4638","1","15,"
"4463","1","15,"
"4832","1","15,"
"4901","1","15,"
"4448","1","15,"
"4588","1","15,"
"4323","1","15,"
"4658","1","15,"
"5093","1","15,"
"5160","1","15,"
"5213","1","15,"
"5240","1","15,"
"5231","1","15,"
"5246","1","15,"
"4805","1","15,"
"5292","1","15,"
"5358","1","15,"
"5451","1","15,"
"5543","1","15,"
"5495","1","15,"
"5549","1","15,"
"5616","1","15,"
"5669","1","15,"
"5749","2","31,32,"
"5750","1","15,27,"
"5814","1","30,34,"
"5793","1","31,32,"
"5818","1","21,26,"
"5820","1","15,27,"
"5851","1","15,"
"6010","1","15,"
"5970","1","15,"
"5943","1","15,"
"5989","1","15,"
"6051","1","15,"
"6021","1","15,"
"6056","1","15,"
"6386","1","15,"
"6434","1","15,"
"6418","1","15,"
"6470","1","15,"
"6403","1","15,"
"6544","1","15,"
"6633","1","15,"
"6443","1","15,"
"6648","1","15,"
"6676","1","15,"
"6564","1","15,"
"6745","1","15,"
"6759","1","15,"
"6835","2","15,"
"6911","1","15,"
"6987","1","15,"
"7057","3","30,"
"7064","1","20,"
"6933","2","4,"
"7052","2","4,"
"7122","1","4,"
"7172","1","30,31,"
"7175","3","30,31,"
"7176","1","30,31,"
"7174","2","21,26,"
"7184","1","4,27,"
"7183","1","30,31,"
"7182","2","15,"
"7171","2","30,31,"
"7186","2","30,31,"
"7189","1","30,31,"
"7161","2","30,31,"
"7197","1","16,31,"
"7191","1","30,31,"
"7213","1","20,35,"
"7211","1","15,"
"7212","1","15,"
"7260","1","21,31,"
"7249","2","31,35,"
"7244","2","21,31,"
"7279","1","31,35,"
"7261","2","21,26,"
"7275","2","31,35,"
"7253","2","4,27,"
"7280","1","4,27,"
"7282","1","4,27,"
"7288","1","31,35,"
"7266","1","4,21,26,27,"
"7289","1","15,"
"7274","1","30,32,"
"7292","2","31,35,"
"7298","1","31,35,"
"7299","1","21,26,"
"7300","1","21,26,"
"7304","1","31,35,"
"7302","1","31,35,"
"7305","1","21,26,"
"7308","1","31,35,"
"7312","2","4,16,20,27,"
"7287","2","4,16,20,27,"
"7307","1","16,27,"
"7313","2","4,16,20,27,"
"7270","2","31,35,"
"7315","1","30,"
"7316","8","31,35,"
"7290","2","4,26,"
"7314","2","16,31,"
"7324","1","16,31,"
"7317","1","4,21,"
"7310","2","4,21,35,"
"7327","1","4,27,"
"7333","1","26,35,"
"7331","8","4,27,"
"7334","1","26,35,"
"7322","2","21,31,"
"7336","1","21,31,"
"7337","2","21,31,"
"7341","1","16,27,"
"7346","1","4,35,"
"7347","1","21,31,"
"7340","1","4,35,"
"7350","1","4,20,35,"
"7351","1","4,27,"
"7353","1","21,31,"
"7359","1","15,20,31,"
"7355","8","4,27,35,"
"7354","2","15,31,"
"7369","1","15,31,"
"7358","2","4,21,"
"7368","2","4,21,"
"7375","1","15,31,"
