"id","option","active"
"1","KITCHEN","Y"
"2","BEDROOM 1","Y"
"3","BEDROOM 2","Y"
"4","BEDROOM 3","Y"
"5","BEDROOM 4","Y"
"6","MASTER BEDROOM","Y"
"7","MASTER BATH","Y"
"8","BATHROOM 1","Y"
"9","HALLWAY","Y"
"10","MASTER CLOSET","Y"
"11","LIVING ROOM","Y"
"12","TV ROOM","Y"
"13","DINING ROOM","Y"
"14","LANDING","Y"
"15","STAIRS","Y"
"16","GARAGE","Y"
"17","GAME ROOM","Y"
"18","FLORIDA ROOM","Y"
"19","CLOSET","Y"
"20","PANTRY","Y"
"21","LAUNDRY","Y"
"22","BATHROOM 2","Y"
"23","BATHROOM 3","Y"
"24","BATHROOM 4","Y"
"25","NO SELECTED","Y"
"26","OFFICE","Y"
"27","ATTIC","Y"
