"id","billed_invoce","billed_date","billed_amount","invoice_amount","before_fees_amount","discount_amount","settlement_amount","status"
"9","1970","2018-12-17","1659.6",,,,,"paid"
"11","1971","2018-12-17","1799.04",,,,,"paid"
"12","1972","2018-12-19","1986",,,,,"paid"
"17","1670","2018-10-30","3576.74",,,,,"paid"
"18","1988","2019-1-2","3753.33",,,,,"paid"
"21","1593","2018-10-25","5008.74",,,,,"paid"
"22","1556","2018-10-10","3312.81",,,,,"paid"
"23","1647","2018-10-29","3846.6",,,,,"paid"
"24",,"2018-12-17","1859.19",,,,,"paid"
"25","1769","2018-10-12","3202.74",,,,,"paid"
"26","1787","2018-11-7","2465.22",,,,,"paid"
"27","1774","2018-11-6","1924",,,,,"paid"
"29","1913","2018-1-20","3168",,,,,"paid"
"30","1595","2018-10-25","2318.74",,,,,"paid"
"31","1645","2018-10-29","6079.19",,,,,"paid"
"32","1885","2018-11-12","6254.74",,,,,"paid"
"33","1844","2018-11-9","3814.74",,,,,"paid"
"34","1754","2018-11-6","5566.74",,,,,"paid"
"35","1813","2018-11-8","5400.94",,,,,"paid"
"36","1848","2018-11-9","1447.74",,,,,"paid"
"37","1849","2018-11-9","1437.74",,,,,"paid"
"38","1789","2018-11-7","1798.74",,,,,"paid"
"39","1784","2018-11-7","1135.74",,,,,"paid"
"40","1830","2018-11-8","1830",,,,,"paid"
"41","1833","1918-11-8","4902.23",,,,,"paid"
"42","1736","2018-10-22","2922.19",,,,,"paid"
"43","1785","2018-11-7","4061.74",,,,,"paid"
"45","1524","2018-9-28","3501.72",,,,,"paid"
"46","1525","2018-9-28","789.72",,,,,"paid"
"48","1744","2018-11-6","2374.28",,,,,"paid"
"49","0001","2018-10-20","1272.19",,,,,"paid"
"50","0000","2018-10-2","2802.19",,,,,"paid"
"51","10/20/2018","2018-10-20","2030.74",,,,,"paid"
"52","1355","2018-7-20","1289.4",,,,,"paid"
"53","1545","2018-10-3","3992",,,,,"paid"
"54","1947","2018-11-29","1251",,,,,"paid"
"55","1981","2018-12-27","460.5",,,,,"paid"
"56","1984","2018-12-28","712.5",,,,,"paid"
"57","1976","2018-12-23","1135.2",,,,,"paid"
"58","1974","2018-12-23","807.6",,,,,"paid"
"59","1975","2018-12-23","1986.6",,,,,"paid"
"60","1977","2018-12-23","968.4",,,,,"paid"
"62","1990","2019-1-7","2218.18",,,,,"paid"
"64","1978","2018-12-24","598.8",,,,,"paid"
"65","1979","2018-12-26","795.5",,,,,"paid"
"66","1980","2018-12-27","480",,,,,"paid"
"67","1982-12.18.67","2018-12-28","424",,,,,"paid"
"68","2031","2019-2-4","360",,,,,"paid"
"69","1983","2018-12-29","1146",,,,,"paid"
"70","1985","2019-1-2","1301.4",,,,,"paid"
"72","1986","2019-1-2","1117.2",,,,,"paid"
"74","1989","2019-1-3","3993.39",,,,,"paid"
"75","1987","2019-1-2","1396.2",,,,,"paid"
"76","1992","2019-1-9","480",,,,,"paid"
"78","2001","2019-1-15","540",,,,,"paid"
"81","1996","2019-1-14","480",,,,,"paid"
"82","2042","2019-2-5","2242.37",,,,,"paid"
"83","2000","2019-1-15","540",,,,,"paid"
"84","1991.01.19.84","2019-1-9","390",,,,,"paid"
"85","2002","2019-1-15","750",,,,,"paid"
"87","1994","2019-1-11","4926",,,,,"paid"
"88","2004","2019-1-16","177.14",,,,,"paid"
"89","1534","2018-10-3","1445.72",,,,,"paid"
"90","1999","2019-1-15","996",,,,,"paid"
"91","1998","2019-1-15","480",,,,,"paid"
"92","2007","2019-1-24","480",,,,,"paid"
"93","2030","2019-2-4","480",,,,,"paid"
"95","2008","2019-1-24","480",,,,,"paid"
"96","2006","2019-1-23","2538.41",,,,,"paid"
"97","2049.01.19.97","2019-2-5","125",,,,,"paid"
"98","2065","2019-2-13","2592.37",,,,,"paid"
"99","2013","2019-1-28","984",,,,,"paid"
"101","2015.01.19.101","2019-1-28","2659.06",,,,,"paid"
"102","2014","2019-2-26","2509.06",,,,,"paid"
"103","2011","2019-1-28","1830.12",,,,,"paid"
"104","2016","2019-1-27","1253.4",,,,,"paid"
"105","2039","2019-2-5","3642.04",,,,,"paid"
"107","2018","2019-1-28","623.68",,,,,"paid"
"108","2012.01.19.108","2019-1-28","2400.32",,,,,"paid"
"109","2021","2019-1-29","1630.12",,,,,"paid"
"110","2022","2019-1-29","1111.2",,,,,"paid"
"113","2023","2019-1-29","1818.7",,,,,"paid"
"114","2038","2019-2-5","1307.4",,,,,"paid"
"115","2019","2019-1-29","1081.2",,,,,"paid"
"116","2035","2019-2-4","1147.2",,,,,"paid"
"118","2026","2019-1-30","8690.41",,,,,"paid"
"119","2045","2019-2-5","763.7",,,,,"paid"
"120","2036","2019-2-4","687.6",,,,,"paid"
"122","2025","2019-1-30","1211.7",,,,,"paid"
"123","2050","2019-2-5","650",,,,,"paid"
"124","2089","2019-2-21","900",,,,,"paid"
"125","2024","2019-1-30","1248.34",,,,,"paid"
"126","2034","2019-2-4","699.6",,,,,"paid"
"127","2032","2019-2-4","1159.2",,,,,"paid"
"129","2027","2019-1-31","1075.08",,,,,"paid"
"130","2040","2019-2-5","1802.4",,,,,"paid"
"132","2041.01.19.132","2019-2-5","1336.7",,,,,"paid"
"133","2033","2019-2-4","1242",,,,,"paid"
