"id","billed_invoce","paid_date","paid_amount","parcial_payment_one_date","parcial_payment_one","parcial_payment_two_date","parcial_payment_two"
"9","1970","2019-2-11","1659.6",,,,
"11","1971","2019-3-1","1799.04",,,,
"12","1972","2019-1-25","1986",,,,
"17","1670","2019-1-3","3576.74",,,,
"18","1988","2019-2-2","3753.33",,,,
"21","1593","2019-1-14","3500",,,,
"22","1556","2019-1-2","3312.81",,,,
"23","1647","2019-1-16","3846.6",,,,
"24",,"2018-12-17","1859.19",,,,
"25","1769","2018-12-21","3202.74",,,,
"26","1787","2019-4-4","2465.22",,,,
"27","1774","2019-1-11","1924",,,,
"29","1913","2019-1-29","3168",,,,
"30","1595","2018-12-27","2318.74",,,,
"31","1645","2018-12-28","6079.19",,,,
"32","1885","2018-2-11","6254.74",,,,
"33","1844","2019-1-22","3814.74",,,,
"34","1754","2019-1-28","5007.78",,,,
"35","1813","2019-1-14","5400.94",,,,
"36","1848","2018-1-3","1200.74",,,,
"37","1849","2019-1-17","1437.74",,,,
"38","1789","2019-1-3","1798.74",,,,
"39","1784","2019-1-10","1135.74",,,,
"40","1830","2018-12-4","1830",,,,
"41","1833","2018-12-1","4902.23",,,,
"42","1736","2019-1-15","2922.19",,,,
"45","1524","2019-1-16","3501.72",,,,
"46","1525","2019-1-14","789.72",,,,
"48","1744","2019-1-16","2100",,,,
"49","0001","2018-12-21","1272.19",,,,
"50","0000","2018-12-21","2802.19",,,,
"51","10/20/2018","2018-12-21","2030.74",,,,
"52","1355","2019-1-2","1289.4",,,,
"53","1545","2019-2-13","3992",,,,
"54","1947","2019-1-16","1251",,,,
"55","1981","2019-2-15","460.5",,,,
"56","1984","2019-3-1","712.5",,,,
"57","1976","2019-2-11","1135.2",,,,
"58","1974","2019-2-11","807.6",,,,
"59","1975","2019-2-11","1986.6",,,,
"60","1977","2019-2-28","968.4",,,,
"62","1990","2019-1-7","2218.18",,,,
"64","1978","2019-2-11","598.8",,,,
"65","1979","2019-2-4","795",,,,
"66","1980","2019-2-11","480",,,,
"67","1982-12.18.67","2019-1-1","424",,,,
"68","2031","2019-2-28","360",,,,
"69","1983","2019-2-12","1146",,,,
"70","1985","2019-2-11","1301.4",,,,
"72","1986","2019-2-11","1117.2",,,,
"74","1989","2019-3-14","3993.39",,,,
"75","1987","2019-2-11","1396.2",,,,
"76","1992","2019-2-11","480",,,,
"78","2001","2019-2-15","540",,,,
"81","1996","2019-2-25","480",,,,
"82","2042","2019-4-8","2242.37",,,,
"83","2000","2019-3-8","540",,,,
"84","1991.01.19.84","2019-5-23","325",,,,
"85","2002","2019-2-15","750",,,,
"87","1994","2019-4-15","4926",,,,
"88","2004","2019-1-25","177.14",,,,
"89","1534","2019-1-22","1445.72",,,,
"90","1999","2019-2-15","996",,,,
"91","1998","2019-2-15","480",,,,
