"id","billed_invoce","paid_date","paid_fees"
"1432","2900.10.19.1432","2021-1-5","104.01"
"1844","3282.03.20.1844","2020-4-3","212"
"1856","3263 & 3263","2020-4-3","328.94"
"1870","3275.02.20.1870","2020-5-7","33"
"2045","3395.04.20.2045","2021-3-26","70.3"
"2212","3533.05.20.2212","2021-4-7","25"
"2685","3925.06.20.2685","2020-8-7","202.42"
"2689","3917.06.20.2689","2021-4-5","56.52"
"2726","3950.06.20.2726","2021-4-23","92.66"
"2983","4147.07.20.2983","2021-4-29","101.03"
"3013","4164.07.20.3013","2021-3-29","58.97"
"3022","4187.07.20.3022","2021-4-8","309.56"
"3023","4229.07.20.3023","2021-3-29","162.24"
"3025","4186.07.20.3025","2021-3-29","62.9"
"3041","4183 4182.07.20.3041","2021-3-19","62.24"
"3050","4176.07.20.3050","2021-3-29","72.24"
"3089","4259.07.20.3089","2021-3-26","10"
"3090","4234.07.20.3090","2021-3-29","99.74"
"3099","4197.07.20.3099","2021-3-29","269.28"
"3105","4319.07.20.3105","2021-3-19","0"
"3141","4246.07.20.3141","2021-3-25","132.24"
"3149","4359.07.20.319","2021-3-29","72.44"
"3160","4248.07.20.3160","2021-4-8","73.64"
"3174","4349.08.20.3174","2020-8-28","162.45"
"3175","4288.07.20.3175","2021-3-25","232.46"
"3176","4287.07.20.3176","2021-3-29","138.36"
"3199","4307.07.20.3199","2021-3-29","72.36"
"3200","4286.07.20.3200","2021-3-29","86.73"
"3203","4292.07.20.3203","2021-3-29","128.36"
"3269","4343.08.20.3269","2021-4-7","70"
"3294","4347.08.20.3294","2021-3-23","43.69"
"3310","4354.08.20.3310","2021-3-29","75.46"
"3328","4491.08.20","2020-10-1","407.74"
"3368","4413.08.20.3368","2021-3-29","97.84"
"3385","4439.08.20.3385","2021-2-1","175.55"
"3449","4500.08.20.3449","2021-4-5","247.92"
"3572","4563.08.20.3572","2020-9-22","358.24"
"3586","4564.08.20.3586","2021-3-16","473.52"
"3635","4643.08.20.3635","2021-4-8","304.31"
"4177","5315.09.20.4177","2021-4-12","42.95"
"4244","4918.09.20.4244","2021-3-16","72.43"
"4290","4943.09.20.4290","2021-4-23","111.59"
"4321","5083.09.20.4321","2021-3-29","71.22"
"4620","5186.09.20.4620","2021-4-23","130.95"
"4638","5091.09.20.4638","2021-7-1","136.88"
"4643","5373.09.20.4643","2021-6-23","187.88"
"4648","5087.09.20.4648","2021-3-23","57.25"
"4653","5390.09.20.4653","2021-3-12","176"
"4725","5346.09.20.4725","2021-11-22","277.97"
"4813","5352.09.20.4813","2021-3-29","37.37"
"4927","5339.09.20.4927","2021-3-22","62.6"
"4941","5430.09.20.4941","2021-5-17","57.44"
"5002","5388.09.20.5002","2021-5-26","78.8"
"5181","5437.09.20.5181","2021-4-12","153.97"
"5213","5349.09.20.5213","2021-11-3","192.36"
"5240","5535.10.20.5240","2021-7-1","63.7"
"5275","5534.10.20.5275","2021-7-26","244.39"
"5285","5503.10.20.5285","2021-4-23","131.78"
"5292","5549.10.20.5292","2021-5-28","58.47"
"5294","5537.10.20.5294","2021-3-23","114.84"
"5306","5496.10.20.5306","2021-6-8","109.34"
"5389","5610.10.20.5389","2021-11-9","177.43"
"5465","5612.10.20.5465","2021-3-30","559.36"
"5468","5614.10.20.5468","2021-3-30","633.23"
"5471","5715.10.20.5471","2021-6-10","260.8"
"5474","5716.10.20.5474","2021-5-24","68.11"
"5489","5613.10.20.5489","2021-3-29","274.72"
"5497","5629.10.20","2021-3-29","366.44"
"5508","5718.10.20.5508","2021-3-29","279.15"
"5511","5853.10.20.5511","2021-3-26","15"
"5527","5634.10.20","2021-6-1","257.97"
"5531","5737.10.20.5531","2021-3-29","303.15"
"5533","5732.10.20.5533","2021-3-29","195.15"
"5538","5619.10.20.5538","2021-3-29","383.2"
"5540","5722.10.20.5540","2020-11-4","154.35"
"5541","5622.10.20.5541","2021-4-8","273.2"
"5565","5743.10.20.5565","2021-4-23","501.15"
"5568","5775.10.20","2021-4-8","169.69"
"5587","5725.10.20.5587","2021-3-29","154.35"
"5600","5727.10.20.5600","2021-3-29","121.02"
"5604","5735.10.20.5604","2021-5-10","51.15"
"5642","5746.10.20.5642","2021-3-25","259.95"
"5650","5739.10.20.5650","2021-4-12","749.23"
"5675","5686.10.20.5675","2021-5-10","263.75"
"5740","5834.10.20.5740","2021-4-5","115.42"
"5862","6086.10.20.5862","2021-3-23","44"
"5879","5942.10.20.5879","2021-5-17","16.83"
"5924","6072.11.20","2020-12-24","68.76"
"5926","5979.10.20.5926","2021-3-25","231.15"
"5962","6070.11.20","2021-3-29","158.77"
"5965","6079.11.20","2021-3-31","67.67"
"5970","5986.10.20.5970","2021-5-7","46.8"
"6005","6154.10.20.6005","2021-4-12","159.46"
"6023","6150.10.20.6023","2021-3-29","280.91"
"6026","6151.10.20.6026","2021-3-29","148.03"
"6051","5997.10.20.6051","2021-7-15","20.35"
"6066","6101.11.20","2021-3-29","232.25"
"6070","6055.11.20","2021-3-29","135.15"
"6073","6122.10.20.6073","2021-2-5","169.69"
"6091","6220.11.20.6091","2021-5-17","69.41"
"6132","6118.11.20","2021-3-29","289.56"
"6141","6153.10.20.6141","2021-4-8","186.03"
"6146","6138.10.20.6146","2021-5-5","217.58"
"6158","6137.10.20.6158","2021-4-27","146.98"
"6162","6056.10.20.6162","2021-3-12","47.9"
"6163","6065.10.20.6163","2021-3-29","65.61"
"6164","6166.10.20.6164","2021-12-28","208.44"
"6189","6186.10.20.6189","2021-3-29","156.71"
"6192","6188.11.20.6192","2021-4-8","39.86"
"6223","10251","2020-12-2","7.5"
"6259","6170.10.20.6259","2021-12-27","105.3"
"6263","6126.10.20.6263","2021-4-12","33.33"
"6280","6182.11.20.6280","2021-3-10","49.4"
"6285","6197.11.20.6285","2021-5-24","317.15"
"6292","6132.10.20.6292","2021-4-21","70.39"
"6308","6131.10.20.6308","2021-4-5","6.88"
"6321","6233.11.20.6321","2021-5-26","139.12"
"6481","6477.11.20.6481","2021-11-18","115"
"6528","6478.11.20.6528","2021-11-18","129.6"
"6776","6567.11.20.6776","2021-7-1","62.85"
"6943","6708.12.20.6943","2021-4-8","92.16"
"6948","6707.12.20.6948","2021-4-23","35.75"
"7023","6783.12.20.7023","2021-3-29","293.7"
"7120","6839.01.21.7120","2021-3-11","178.07"
"7131","6845.01.21","2021-4-23","15.89"
"7167","6882.02.21","2021-3-29","108.37"
"7198","6928.02.21","2021-7-30","122.32"
"7216","6921.02.21","2021-5-24","21.95"
"7228","6930.02.21.7228","2021-3-29","259.45"
"7297","6983.03.21","2021-6-1","73.31"
"7298","698403.21","2021-3-29","65.43"
"7374","7049.03.21","2021-4-1","22"
"7383","7057.04.21","2021-5-21","28.25"
