"id","billed_invoce","paid_date","paid_amount","parcial_payment_one_date","parcial_payment_one","parcial_payment_two_date","parcial_payment_two","status"
"43","1785","2021-1-10","4061.74","2018-12-5","1787.66","2019-2-13","193.97","paid"
"410","2171.04.19.410","2021-12-31","1214.68","2021-5-24","500","2021-12-31","0","paid"
"485",,"2019-6-3","700","2019-5-2","350","2019-6-2","350","paid"
"512","2224.05.19.512","2019-7-29","425","2019-7-1","25",,"425","paid"
"571","2263.05.19.571","2019-6-26","1600","2019-5-23","300","2019-6-26","1300","paid"
"614","2305.06.19.614","2019-9-5","2185.16","2019-8-22","1400","2019-9-5","785.16","paid"
"664","2334.06.19.664","2019-6-19","1095",,"547.5",,"547.5","paid"
"666","2339.06.19.666",,,"2022-5-13","200",,,"partial_paid"
"674","2337.06.19.674","2019-8-5","1500","2019-7-3","750","2019-8-5","750","paid"
"713","2368.06.19.713","2019-9-16","2598","2019-7-30","866","2019-9-16","1732","paid"
"833","2408.07.19.833","2019-10-15","4070.6","2019-9-9","2438.03","2019-10-15","1132.57","paid"
"901","2467.07.19.901","2020-3-2","1379.02","2020-3-2","344.75","2020-1-31","344.75","paid"
"944","2503.08.19.944","2019-12-12","1873.75","2019-11-11","1500","2019-12-12","373.75","paid"
"970","2525.08.2019","2019-8-9","400","2019-8-8","150","2019-8-9","250","paid"
"1088","2620.08.19.1088","2019-9-27","1768.05","2019-9-20","1297","2019-9-27","471.5","paid"
"1098","2628.08.19.1098","2019-11-15","2516","2019-10-18","666","2019-11-1","1176.6","paid"
"1162","2673.09.19.1162","2020-2-7","3341.3","2019-12-7","1426.3","2020-2-7","1915","paid"
"1239","2728.09.19.1239","2020-1-2","1315.5","2109-11-18","526.73","2020-1-2","788.77","paid"
"1302","2781.09.19.1302","2019-11-18","5246.72","2019-11-22","2501.72","2019-11-18","2745","paid"
"1321","2796.10.19.1321","2021-3-2","3728.8","2021-3-8","950","2021-3-2","2914.04","paid"
"1323","2807.10.19","2020-1-24","3134.66","2019-11-15","1176.6","2020-1-24","1958.06","paid"
"1414","2874.10.19","2019-11-9","500","2019-11-22","250","2019-11-29","250","paid"
"1432","2900.10.19.1432","2021-1-5","2508.75","2020-2-11","1508.75","2021-1-5","1146.01","paid"
"1439","2935.11.04","2019-4-11","5900","2019-12-5","4249.14","2020-4-22","2000.45","paid"
"1476","2942.11.19.1476",,,"2020-10-27","1236","2022-4-24","1672.45","paid"
"1605","3044.12.19.1605","2020-2-7","1715.22","2020-1-10","500","2020-1-31","500","paid"
"1632","3066.12.19","2020-2-7","1368","2020-1-24","368","2020-2-7","1000","paid"
"1715","3141.01.20.1715","2020-4-3","1382.25","2020-4-3","868.79","2020-4-3","513.46","paid"
"1798","3222 & 3223","2020-2-28","4318.16","2020-2-14","3161.33","2020-2-28","1156.83","paid"
"1844","3282.03.20.1844","2020-4-3","3540","2020-3-27","1490.9","2020-4-3","2049.1","paid"
"1856","3263 & 3263","2020-4-3","4984.06","2020-4-3","729","2020-4-3","4255.06","paid"
"1870","3275.02.20.1870","2020-5-7","567","2020-4-3","472.5","2020-5-7","94.5","paid"
"2034","3400.04.20","2021-12-16","2410.11","2020-12-16","900","2021-1-4","2410.11","paid"
"2085","3429.05.20.2085","2020-10-28","2308.51","2020-10-16","1355.11","2020-10-28","953.4","paid"
"2110","3445.05.20.2110","2022-4-23","1347","2020-7-30","700","2020-9-30","647","paid"
"2316","3613.05.20.2316","2020-8-22","1435.14","2020-7-21","435.14","2020-8-22","1000","paid"
"2363","3646.06.20.2363","2020-7-22","907.2","2020-7-7","833.37","2020-7-22","73.83","paid"
"2511","3788.06.20.2511","2020-8-1","1397.6","2020-8-6","698.8","2020-8-1","1397.6","paid"
"2574","3817.06.20.2574","2021-2-5","2047","2021-1-8","93","2021-2-5","1954","paid"
"2685","3925.06.20.2685","2020-8-7","4609.32","2020-8-6","2405.88","2020-8-7","2203.44","paid"
"2835","4036.07.20.2835",,"175.66","2020-8-7","83.17","2021-1-21","175.66","paid"
"2937","4110.07.20.2937","2021-3-16","1486.3","2020-12-1","1284","2021-3-16","202.3","paid"
"2947","4118.07.20.2947","2021-12-30","1746.2","2020-12-1","1546",,"200","paid"
"3041","4183 4182.07.20.3041","2021-3-19","1258.06","2021-3-29","480","2021-3-29","778.06","paid"
"3105","4319.07.20.3105","2021-3-19","1203.45","2021-8-13","200","2021-3-19","300","paid"
"3108","4254.07.20.3108","2021-3-16","613.89","2021-3-16","569.59","2021-3-16","44.3","paid"
"3210","4283.07.20.3210","2021-6-10","250","2021-6-8","125","2021-6-10","125","paid"
"3276","4342.08.20.3276","2021-3-29","328.68","2021-3-3","36.65","2021-3-29","292.03","paid"
"3328","4491.08.20","2020-10-1","4688.98","2020-9-28","2548.36","2020-10-1","2548.36","paid"
"3358","4471.08.20","2020-10-23","1500","2020-9-30","393.41","2020-8-18","2500","paid"
"3385","4439.08.20.3385","2021-2-1","2765.86","2021-2-1","571.44","2021-1-21","2018.87","paid"
"3449","4500.08.20.3449","2021-4-5","3098.98","2021-4-5","386.86","2021-3-29","269.42","paid"
"3554","4556.08.20.3554","2020-8-27","2800","2020-8-26","1400","2020-8-27","1400","paid"
