"id","finance_info"
"18","01/28 received copy of letter from Safepoint that claim has been denied.   Will follow up with Grindley.
01/828 Andrea s/w adjuster, Cynthia Holt  and she will be issuing payment."
"26","04/01/2019 - 4/1 - recd call from jb waters - adjuster w/asi advsing they are overnighting a payment...he'll email me the tracking # for the payment...he was advsd by his supervisor to get this paid in full right away..his ext 1809 (by Cynthia) 
 04/01/2019 - 4/1 - spoke to david w/cust svc advsd that antwan is now out on unexpected leave-bethany advsd him(david) that this has been reassigned to jodi  jbibb@asicorp.org-bethany would not take the call, had david relay the information to me..asked david how long it would take to get payment approved...he's not sure as this is on a special team..he did advise me to send all the emails to claims@asicorp.org - which will inturn have the email directed to the person handling the claim..advsd david that i'll be contacting jodi this week & hope to have an update--if not i will be escalating this higher than bethany.... (by Cynthia) 
 03/27/2019 -  (by Cynthia) 
 03/27/2019 - 3/27 - spoke to renald w/customer svc advsd last notes on this claim are from 3/21 when i called in..nothing since..asked for Bethanny's supervisor as noone is answering back..he's not sure he can give that info, he's putting in a escalated request w/his supervisor for a call back to me w/in 24hrs... (by Cynthia) 
 03/25/2019 - 3/25 - left bethany voicemail regarding pymnt status--emailed her as well (by Cynthia) 
 03/21/2019 - 3/21 - spoke to catrina w/asi cust svc advising that the homeowner has not recd any payment on this claim, she did advise that david berga is no longer in her company directory--she tried to call antwan davis and no answer..i asked for his supervisor..bethany ext 1640  BBECCUE@ASICORP.ORG. emailed bethany & cc: antwan w/previous email attachements-advising her that we've contacted these adjuster several times & no reply..asking for update/payment status.. (by Cynthia) 
 03/14/2019 - 3/14 - spoke to holly w/cust svc advsd a payment was issued before january, but not for our invoice...there is a lawyer & pa on this claim..she's sending a task to antwan to please call us regarding payment. emailed antwan & jberga for payment status (by Cynthia) 
 02/14/2019 -  (by Michelle) 
 01/18 emailed adjuster regarding status of payment. 01/21 - left message for Antwan regarding services rendered.  01/22 emailed adjuster regarding payment. 01/22 Cannot lien he as it is a trailer park.  I am hoping the adjuster will pay us directly."
"28","03/25/2019 - 3/25 recd email from laura stating: I’m sorry . I work all the time with my phone ringer off. I will mail the balance tonight. Thank you for your email. By the way still no roof. And aweful quality shredded tarp attachment blowing in the wind. But thank you for your patience. (by Cynthia) 
 03/25/2019 - 3/22 lft msg 3/25 lft msg & emailed laura revised invoice (by Cynthia) 
 03/14/2019 - 10-31 left message for Laura, would like to make an offer if necessary. remove smaller tarp charge	11/9 Called and left a message for Mr. Candler, emailed him and and left Ms. Jones - 11/13 received infomation that carrier email was incorrect. Called NCI firm 919-821-1299 and got correct email addresss - claims.admin@ncjua.com 11/12 send reminder letter	11/27 no call from Carolyn or Laura, Sent Notice of intent. Will lien property if not paid.	Lien property 12/7
3/14 - lft msg for laura (by Cynthia) 
 03/14/2019 - 10-31 left message for Laura, would like to make an offer if necessary. remove smaller tarp charge	11/9 Called and left a message for Mr. Candler, emailed him and and left Ms. Jones - 11/13 received infomation that carrier email was incorrect. Called NCI firm 919-821-1299 and got correct email addresss - claims.admin@ncjua.com 11/12 send reminder letter	11/27 no call from Carolyn or Laura, Sent Notice of intent. Will lien property if not paid.	Lien property 12/7 (by Cynthia) 
 03/14/2019 - 10-31 left message for Laura, would like to make an offer if necessary. remove smaller tarp charge	11/9 Called and left a message for Mr. Candler, emailed him and and left Ms. Jones - 11/13 received infomation that carrier email was incorrect. Called NCI firm 919-821-1299 and got correct email addresss - claims.admin@ncjua.com 11/12 send reminder letter	11/27 no call from Carolyn or Laura, Sent Notice of intent. Will lien property if not paid.	Lien property 12/7 (by Cynthia) 
 03/14/2019 - 10-31 left message for Laura, would like to make an offer if necessary. remove smaller tarp charge	11/9 Called and left a message for Mr. Candler, emailed him and and left Ms. Jones - 11/13 received infomation that carrier email was incorrect. Called NCI firm 919-821-1299 and got correct email addresss - claims.admin@ncjua.com	11/12 send reminder letter	11/27 no call from Carolyn or Laura, Sent Notice of intent. Will lien property if not paid.	Lien property 12/7.
3/14 - tried calling ph# on scope 910-233-1302..vm is for a Laura. (by Cynthia) 
 "
"29","1/10 s/w Lou and she stated that she received the check from her insurance company, but her husband's name was on the check and she could not deposit.  She stated that she would write us a check out of her personal account.  She would like for us to text her our address and she will mail us a check. 01/22 text h/o about services rendered."
"32","01/15 SW Tim with St. Johns and advised that he will issue payment and send directly to us today.  01/22 email to Tim regarding the status of payment.
01/28 Left message for adjuster.  Sent demand letter via regular mail and email to Bettye giving her until Feb. 5th or will have to place lien.  02/5 Sw Tim.  He will be issuing payment to us today."
"33","11/12 email h/o final letter	12/5 S/w Security First - Payment has not been issued on this claim.  They asked that we forward the invoice one again. sent invoice and CS acknowledged receipt.	12/12 email Pickie reminder ltr.	01/4 s/w Nancy with Security First, she requested that we forward the invoice directly to her. at najoseph@securityfirstflorida.com. 01/10 s/w jwanda gonzalez, adjuster and i sent her the before and after photos of the house. She stated that she will pay us directly for the services rendered.  I will follow up with her in a few days. Got h/o telephone number for our records."
"34","01/09/2018 - s/w Mr. Philips, the mortgage company finally accepted the insurance certificate and would be drafting him a check"
"37","01/1119 - S/w Dean and he advised that he did not receive our invoice, but when he does, he will write us a check."
"43","02/04/2018 S/w Alexis Williams with Fed Nat and she will be issuing the difference."
"44","05/31/2019 - 5/30 - closed out..write off-bad debt (by Cynthia) 
 "
"48","01/11 - s/w adjuster Jwanita, she will paying us directly.  Also heard from Mr. Warren  and he indicated that rodents where getting in his home, and he did not have our number to tell us.  I explained to him that we left on the week before Christmas and we would not be able to assist him.  I have email from stating that she will pay."
"53","09/23 email Laila at Crawford. 12/18 just found out about outstanding invoice today.  Sent email to adjuster regarding payment.	laila thomas cell number 954-547-8048- 12/18 s/w adjuster.  She will be issuing payment direclty to us. 01/11 email to Laila regarding the status of payment. 01/14 - Lalia sent an email to the carrier advising them to pay the invoice. 02/04 - Sent email to John_Ruber@us.crawco.com and Laila Thomas regarding our outstanding balance. 02/05 - email from john: Please send me your company W-9. I need to have your company set up in our vendor pay request system. The process usually takes 3 – 5 business days."
"54","0114 - Augusto s/w Johnathan who advised that he put the check in the mail."
"56","02/13/2019 -  (by Augusto) 
 "
"66","02/13/2019 -  (by Augusto) 
 "
