"id","billed_info"
"21","Gave them a discount due to the amount of time we had to go to property to fix tarp.  Sending customer the difference."
"28","Initial was 3859.72 10/3"
"67","The invoice does not include the fire cleaning service, which need to include after all claims provide the estimate to us. CK 12/28/18"
"84","Sent to All Claims"
"106","invoice voided"
"116","Invoice in QB is for $1147.20"
"140","Homeowner son is an senior adjuster at liberty mutual, he will provide a main contact to us to became a vendor. We only charge a small fee, he said it would be illegal don't charge him anything.

Chris sent Mr. Kimm Gent the invoice."
"377","4/1 sent out HO"
"430","recd email from Peter requesting to reduce our invoice to $3596.61....forwarded this to Gus...gus approved..emailed peter revised invoice.."
"506","per gus reduced invoice to $1,000.00--advsd customer-emailed invoices to him & he' ll make the payment zackc62@comcast.net"
"512","06/19/2019 - 6/18 - per gus reduced invoice to $450.00--advsd customer-emailed invoices to him & he' ll make the payment zackc62@comcast.net"
"614","GUS approved bill to be reduced to $2185.16...final"
"639","per management, customer was quoted a different amount of $1567.00 per written estimate...agreed to $1625--no fees..will process a SOL & Small Claims dismissal.."
"858","2433.47 less 8% fee"
"924","09/24 - revised as we are to honor $650 for over 1500 sq ft regardless of the sq footage."
"962","reduced due to no coverage..."
"983","REDUCED DUE TO UNPAID REF FEES PER CHRIS.."
"996","revised bill..xactimate..emailed all to HO"
"1114","NEXXUS"
"1162","revised per request from alacrity/tower hill as claim was denied..$1500.00  11/27
RECD 2 PAYMENTS FROM ALACRITY..INVOICE REVERTED BACK TO ORIGINAL AMOUNT BILLED $3500.00"
"1230","09/16 - revised invoice to 2988.00 from 3075.00 - per Alacrity."
"1238","Changed original invoice amount to 988.00 from 2075.00"
"1239","09/16 - Revised invoice to 2241.00 per Alacrity from 2575.00"
"1240","THIS WAS SETTLED WITH THE ATTORNEY..CLOSING OUT AS BAD DEBT NOTHING COLLECTED..."
"1273","10/4 - revised invoice to 572.80 at the request of sedgwick."
"1280","can't charge for height when we tarped the 1st level in the back of the house...received rejection from BJ w/sedgewick"
"1284","revised invoice per rejection from BJ w/sedgewick"
"1290","10/01/2019 - 10/01 - Was requested by Sedgwick to remove the service call.  Revised estimate and uploaded.  New amoung 2760.00 (by Michelle) Original amount 2911.87"
"1343","revised to $1500.00"
"1384","invoice revised 10/25 to 477.00 from 552.00"
