"id","payment_info"
"11","ck #4428"
"12","check # 3442"
"18","check 122"
"31","Paid full - check from FEDNAT #900904"
"36","credit card payment"
"43","1/10 Customer paid 2080.11 which leaves a balance of 193.97"
"55","Check #: 4386"
"56","ck #4428"
"65","ck#4335"
"67","VOIDED"
"82","4/8 - received ck#0162014 from Citizens Property Insurance"
"84","CK #004634"
"85","Check #: 4386"
"87","Citizens Check #0072471"
"97","ck#004667"
"98","Recd Citizens check #0162084 $2592.37"
"101","ck#004831   final payment $2126.48"
"102","check #: 4386"
"106","invoice voided"
"108","ck#004568"
"113","Check #: 4397"
"119","Check: #4397"
"124","Paid by CC 03/26"
"132","final pymnt ck#004831"
"141","ck #004595"
"148","ACH"
"158","CK#004934"
"160","PIF ck#004568"
"161","ck#7803"
"165","ck #4428"
"166","ck #004595"
"168","CK #004634"
"179","CK #005802"
"184","Crawford ck#9160583294"
"188","ck#004568"
"192","CK #004634"
"194","ACH"
"196","Evolution Risk Advisors ck#5571699"
"198","Ross Brothers ck#2094"
"200","ck#004869"
"201","ck#004869"
"202","ck #004595"
"203","ACH"
"204","ACH"
"207","ACH"
"209","ACH"
"211","ck #004726"
"212","ACH"
"213","Evolution Risk Advisors ck#5571699"
"216","ck#004568"
"220","ck #004595"
"221","ck #004595"
"223","Paid via Ck#863942"
"224","ACH"
"235","HO amex ending: 74002"
"249","ck#004726"
"250","ck #004552"
"261","ACH"
"290","ACH"
"306","CK#7780"
"316","ck #004595"
"318","CK#158372"
"352","ck#004856"
"353","ACH"
"357","CK #4735"
"359","CK #004634"
"362","Ross Brothers ck#2214"
"366","edison ck#00061038"
"367","Frontline ck#159481"
"373","ck #4919"
"375","CK #004634"
"377","ck#00066778"
"379","ck#0000253509"
"382","ach"
"389","ck#1425"
"390","Gulfstream ck#00000093874"
"391","check #10152"
"392","ach"
"396","ck#004726"
"400","ck #24235"
"401","Progressive Ck#13122216"
"404","ACH"
"405","ACH"
"406","ach"
"407","CK#004774"
"410","INSURED AGREED TO PYMTN PLAN 1ST PYMNT 5/21/2021=FINAL PAYMENT 6/18/2021
08/07/2019 $714.68 partial payment from Universal ck# 5612858

Michelle authorized to discount the remaining $500.00"
"417","ACH"
"424","ck #004595"
"426","ACH"
"430","paid via cc ending: 6485"
"434","CK#004774"
"437","ACH"
"438","ACH"
"441","ck #5587690"
"443","ACH"
"444","ACH"
"446","ACH"
"448","ck#004831"
"454","Homeowners Choice ck#0000252973"
"457","ACH"
"476","ACH"
"477","ACH"
"478","ck#7968"
"479","CK #005132"
"481","ACH"
"482","ck
#004831"
"483","ACH"
"485","350.00 paid to Chris in cash on 05/02
Check 1006 for -$350.00 06/02"
"488","Edison ck#00063184"
"489","ach"
"491","ACH"
"495","ach"
"496","ck #5535 from homeowner"
"497","CK#00412746"
"499","paid via miles jr amex ending 32002"
"500","CK#005132"
"503","ACH"
"504","Paid with American Express card number 371725533986009 ex 11/23 - 7471 = Leon Perez"
"506","ck#1130"
"510","ACH"
"511","Assurant ck#60467491"
"512","7/1 recd ck#1130 $1025.00 w/note from HO stating he'll pay the balance of $425.00 on Friday July 5th.

paid via credit card ending 9454 7/29"
"513","CK #3627"
"514","ACH"
"517","CK #255302"
"518","ck#004856"
"519","ACH"
"520","CK#004959"
"521","ACH"
"524","ck#00412748"
"525","CK#5600773"
"526","ck#24373"
"527","ck#004667"
"528","ACH"
"529","PAID VIA CREDIT CARD ENDING: 9776"
"530","ACH"
"532","CK #3627"
"533","PAID VIA CREDIT CARD ENDING: 2797"
"534","CK #10899095"
"535","ck#004869"
"537","CK#2744"
"538","ACH"
"539","ck#004705"
"541","CK #20722"
"544","ck #004856"
"546","ACH"
"549","Stillwater ck#097566"
"551","ACH"
"555","CK# 19802"
"556","amex cc"
"558","ACH"
"561","ACH"
"563","ACH"
"564","ACH"
"565","ACH"
"567","CK#004907"
"568","ACH"
"569","ACH"
"570","ck #4923"
"571","5/23 - $300.00 paid via cc ending 2627
6/26 - $1300.00 paid via cc ending 7339"
"572","ACH"
"578","CC ending: 9288..emailed paid invoice to ganapati@fiu.edu"
"579","ck #4917"
"580","ck#004856"
"581","CK#4927"
"582","ACH from sedgwick less our fees"
"583","ck#004869"
"584","ACH"
"592","ACH"
"596","RECD ACH FROM SEDGEWICK LESS THE 8% FEE"
"597","ck #10261"
"598","CK#004907"
"600","paid via miles jr amex ending 32002"
"601","CK#005342"
"602","ck#19890"
"603","ck #004856"
"604","ACH"
"608","ACH"
"609","paid via cc 5545"
"610","CK#65672"
"611","ck#0141035275"
"612","ck#0000257284"
"613","ACH"
"614","cc ending 5364
pif cc ending 5364"
"615","ck #54400"
"616","ck#0025837205"
"617","CK#24572"
"619","ACH"
"620","ck#00421949"
"621","CK#24572"
"622","8% taken out of deposit by Sedgwick."
"623","ck#3680"
"626","chris & gus approved reduced amount as the insurance only paid out a total of $4147.84 (tarp & inspection) CK#1120673"
"627","ACH"
"628","ck#004856"
"629","ck#0025837205"
"630","CK#24572"
"633","ck#4999"
"634","CK#005342"
"635","ACH"
"636","CK #0141036169"
"637","CK#005342"
"638","ACH"
"639","AMEX CC ENDING: 81001"
"640","CK#65672"
"642","ACH"
"643","ACH"
"646","heritage ck#000000180677"
"647","Homeowner personal  ck#5431"
"648","ACH"
"649","paid by amex ending 04011 by homeowner"
"650","ck#004912"
"651","ACH"
"653","chris & gus approved reduced amount as the insurance only paid out a total of $4147.84 (tarp & inspection) CK#1120673"
"654","ACH"
"657","ck #20033"
"658","CK#004824"
"659","ACH"
"660","ACH"
"661","ACH"
"662","cc ending 9760"
"663","ACH"
"664","ck#603
CK #604"
"666","DOWN PAYMENT PART OF SETTLEMENT: $800.00 CK#112
RECD CK#114 $200.00 9/8/2021
RECD CK#115 $200.00 10/22/2021
RECD  CK#119 $400.00 11/30/2021
RECD CK#126 $600.00 2/24/2022
RECD CK#127 $200.00 3/31/2022
RECD CK#129 $200.00 05/13/2022"
"667","ACH"
"668","ck#4998"
"669","ACH"
"671","ACH"
"673","ck#4998"
"674","PARTIAL PAYMENT (1) CK#10464
FINAL PAYMENT CK#10477"
"675","ck#10900288"
"676","ACH"
"678","ck#4261424"
"680","ck#004912"
"681","CK#005024"
"683","ck#004912"
"684","ACH"
"685","ck#20005"
"686","no notes in QB as to who paid this invoice..."
"687","ck#24662"
"688","ck#24597"
"689","ACH"
"691","personal ck#1516"
"692","ACH"
"693","ACH"
"694","ck#24597"
"695","ACH"
"697","ACH"
"698","ACH"
"702","ACH"
"703","ACH"
"706","ck#1917864811"
"707","ACH"
"708","ck#00424459"
"709","cam paid via credit card ending: 8371"
"710","ACH"
"711","ACH"
"712","ck#00417889"
"713","ck#1096
PAID IN FULL $1732.00"
"714","CK#004831"
"715","ck#24662"
"718","CK#005024"
"719","CK#1531906"
"722","ck#00422412"
"723","ACH"
"724","ck#10347"
"725","ACH"
"729","CK#004831"
"731","progressive ck#13128906"
"732","ACH"
"733","ck#0141035275"
"734","ck #20071"
"735","CK#004993"
"737","ck#3716"
"738","CK#004824"
"740","ach"
"741","ck#00000098737"
"742","ck#00418336"
"744","ACH"
"748","ck #20071"
"749","ck#005011"
"751","ASI CK#60485567"
"752","CK #00428756"
"753","ACH"
"755","ck# 20071"
"776","ck#00418520"
"780","ck#382"
"792","ACH"
"799","EFT"
"826","Paid via Quickbooks online - 07/12/19"
"827","ACH"
"828","CK#005024"
"831","maison insurance ck#50170"
"832","progressive ck#157458"
"833","partial payment ck#526086
2nd ck #122581397"
"836","fednat ck#970848"
"838","Paid by check to Gus on site"
"839","fednat ck#963420"
"840","ck#00422520"
"842","MAISON INSURANCE CK#49658"
"843","ck #1533324"
"844","FED NAT CK#964035"
"845","ck#20131"
"846","ck#973671"
"847","ACH"
"848","ck#49950 from maison insurance"
"852","ck#340142058"
"853","CK#3738"
"855","ck#51634"
"856","FED NAT CK#964036"
"857","ck#52569"
"858","ach sedgewick"
"859","ACH"
"861","ACH"
"862","CK#1933 FROM DCMG - LESS 5.5%"
"864","paid via sedgewick ACH less $189.76 fee"
"865","ck#1944 less DCMG fee"
"866","CC ENDING"
"867","ck#20131"
"868","ACH"
"870","ACH"
"871","ACH"
"872","PAID LESS VENDOR FEE OF $201.55 CK#42529"
"873","ACH"
"875","ach"
"876","ck#20131"
"877","CK#3738"
"878","ck#51634"
"879","CK #51634"
"880","ACH"
"881","CK #00431198"
"882","NEXXUS CK#42595 LESS 5.5% FEE OF $183.25"
"883","CK#3754"
"884","ACH"
"885","ACH"
"889","ck#16176"
"890","CK #452517"
"891","ACH"
"892","ck#20131"
"893","LESS DCMG FEE: $48.07   CK#2045"
"894","ck#00070203"
"895","ACH"
"896","LESS DCMG FEE: $7.43  CK#2076"
"897","LESS DCMG FEE $98.76  CK#1990"
"898","CK#51634"
"899","LESS NEXXUS FEE: $37.95 CK#42769"
"900","ACH"
"901","1st payment via cc ending 4007 $344.75 1/6/2020
2nd payment will be on 2/6/2020--received on 1/31/2020 $344.75 via cc ending 4007
3rd payment received on 3/2/2020 $344.75 via cc ending 4007"
"902","ACH"
"903","CK#004907"
"905","LESS DCMG FEE: $48.08  CK#2045"
"907","ACH"
"908","ACH"
